target	regulator	condition	weight
CTSB	IRF7	CD8 Exhausted	0.4773768593903351
NR3C1	IRF7	CD8 Exhausted	0.2992462189103073
UCP2	IRF7	CD8 Exhausted	0.2370520511914186
LYST	IRF7	CD8 Exhausted	0.1297663236344306
BHLHE40	JUN	CD8 Exhausted	2.583307546763513
FOS	JUN	CD8 Exhausted	1.506753561022923
STAT3	JUN	CD8 Exhausted	1.1049249516067643
ATF4	JUN	CD8 Exhausted	1.0715701101649409
PRDM1	JUN	CD8 Exhausted	1.0139843440192884
JUN	JUN	CD8 Exhausted	1.0
STAT5B	JUN	CD8 Exhausted	0.9881890234083516
ADGRE5	JUN	CD8 Exhausted	0.8512390440379298
ZEB2	JUN	CD8 Exhausted	0.8166075610943256
JUNB	JUN	CD8 Exhausted	0.7094396744219165
HSPA5	JUN	CD8 Exhausted	0.6971587473201349
RALA	JUN	CD8 Exhausted	0.6703206147893906
NFATC2	JUN	CD8 Exhausted	0.5965748475124931
NR4A2	JUN	CD8 Exhausted	0.5278698823861614
PPP1R15A	JUN	CD8 Exhausted	0.52599077399509
CD63	JUN	CD8 Exhausted	0.467801758790614
IRF2BP2	JUN	CD8 Exhausted	0.4438269302444362
ELL2	JUN	CD8 Exhausted	0.4309127692484145
AHNAK	JUN	CD8 Exhausted	0.4164707932668549
RGCC	JUN	CD8 Exhausted	0.4085953772362794
TSHZ2	JUN	CD8 Exhausted	0.4079501569060912
JUND	JUN	CD8 Exhausted	0.4063438726204283
TSC22D3	JUN	CD8 Exhausted	0.379584879890592
ANXA2	JUN	CD8 Exhausted	0.3774331141998198
TNFAIP3	JUN	CD8 Exhausted	0.3644968858792518
ABLIM1	JUN	CD8 Exhausted	0.3608822974927101
PIM3	JUN	CD8 Exhausted	0.3532609807695994
CDKN1A	JUN	CD8 Exhausted	0.3451616397031292
SYTL2	JUN	CD8 Exhausted	0.3330748018655469
SNX9	JUN	CD8 Exhausted	0.3292403688348922
BTG1	JUN	CD8 Exhausted	0.323670448930301
IER2	JUN	CD8 Exhausted	0.3062922975656748
MARCKSL1	JUN	CD8 Exhausted	0.3059645695203829
DUSP1	JUN	CD8 Exhausted	0.3020086010937727
ZC3H12A	JUN	CD8 Exhausted	0.3007933934530795
SYTL3	JUN	CD8 Exhausted	0.2961722804265109
KDM6B	JUN	CD8 Exhausted	0.2954287847638779
CD247	JUN	CD8 Exhausted	0.2820324067742395
GADD45B	JUN	CD8 Exhausted	0.2727568413178194
EZR	JUN	CD8 Exhausted	0.2595726595354518
MAP1LC3A	JUN	CD8 Exhausted	0.2504010744738861
PTGER4	JUN	CD8 Exhausted	0.2251586642961142
LDLRAD4	JUN	CD8 Exhausted	0.2179157470965437
YPEL5	JUN	CD8 Exhausted	0.2133373538450157
HSPA1A	JUN	CD8 Exhausted	0.2115608948059871
RALGAPA1	JUN	CD8 Exhausted	0.2075062969524038
SLC39A8	JUN	CD8 Exhausted	0.1909930901972067
PTP4A1	JUN	CD8 Exhausted	0.1879556517681798
RAB11FIP1	JUN	CD8 Exhausted	0.1868404800145564
HSPH1	JUN	CD8 Exhausted	0.1819846966908065
PEA15	JUN	CD8 Exhausted	0.1795536777460108
BTG2	JUN	CD8 Exhausted	0.1776346150776992
CTSB	JUN	CD8 Exhausted	0.1691338643948086
SMCHD1	JUN	CD8 Exhausted	0.1630983411303931
MAP3K8	JUN	CD8 Exhausted	0.1580630809876391
ATP1B3	JUN	CD8 Exhausted	0.1222175237907322
LYST	JUN	CD8 Exhausted	0.1016419574750828
FOS	JUNB	CD8 Exhausted	2.768799963903177
NR4A2	JUNB	CD8 Exhausted	2.4016895674364003
IRF2BP2	JUNB	CD8 Exhausted	2.1956284616918764
DUSP1	JUNB	CD8 Exhausted	2.0893557803934484
FTL	JUNB	CD8 Exhausted	1.9861959870295585
TUBA4A	JUNB	CD8 Exhausted	1.964534850562364
IER2	JUNB	CD8 Exhausted	1.8532286316388369
KDM6B	JUNB	CD8 Exhausted	1.7754563055429606
BIRC3	JUNB	CD8 Exhausted	1.7750432548477826
PSAP	JUNB	CD8 Exhausted	1.769565941326651
ZFP36	JUNB	CD8 Exhausted	1.7236996729013652
REL	JUNB	CD8 Exhausted	1.7043226624395855
MAP3K8	JUNB	CD8 Exhausted	1.6513607133890744
PTP4A1	JUNB	CD8 Exhausted	1.6096096463745808
ELL2	JUNB	CD8 Exhausted	1.3678841971745055
CCNH	JUNB	CD8 Exhausted	1.3453229363099115
NFKBIZ	JUNB	CD8 Exhausted	1.244164743836957
CDKN1A	JUNB	CD8 Exhausted	1.2304810265297572
ARHGEF7	JUNB	CD8 Exhausted	1.223662703734476
FOXP1	JUNB	CD8 Exhausted	1.1981744244512265
LDLRAD4	JUNB	CD8 Exhausted	1.182670846853977
NFATC2	JUNB	CD8 Exhausted	1.1706423494541285
RAB11FIP1	JUNB	CD8 Exhausted	1.1265406121794714
CHMP1B	JUNB	CD8 Exhausted	1.1038522393030408
JUN	JUNB	CD8 Exhausted	1.0385260184103051
LIMS1	JUNB	CD8 Exhausted	1.0372513300439363
DUSP2	JUNB	CD8 Exhausted	1.025601355093
JUNB	JUNB	CD8 Exhausted	1.0
SLC16A3	JUNB	CD8 Exhausted	0.994709305723138
SRSF3	JUNB	CD8 Exhausted	0.9622232446603716
SLC39A8	JUNB	CD8 Exhausted	0.9547817273020938
FAM177A1	JUNB	CD8 Exhausted	0.952987459196756
ARAP2	JUNB	CD8 Exhausted	0.9356885696394646
PIM3	JUNB	CD8 Exhausted	0.9074173568358656
SYAP1	JUNB	CD8 Exhausted	0.8272257065905378
ZC3H12A	JUNB	CD8 Exhausted	0.8250629330395841
NAMPT	JUNB	CD8 Exhausted	0.8167997057024389
ZNF331	JUNB	CD8 Exhausted	0.7953954600337717
JOSD1	JUNB	CD8 Exhausted	0.7674668985119885
CCND2	JUNB	CD8 Exhausted	0.7640285825661999
GADD45B	JUNB	CD8 Exhausted	0.7056233798800972
RGS1	JUNB	CD8 Exhausted	0.6996301438757612
CHD2	JUNB	CD8 Exhausted	0.6777275152096794
VPS37B	JUNB	CD8 Exhausted	0.6733205690842129
RGCC	JUNB	CD8 Exhausted	0.6711075488997168
TSHZ2	JUNB	CD8 Exhausted	0.6664844037410227
TRAF4	JUNB	CD8 Exhausted	0.6358380941517745
PEA15	JUNB	CD8 Exhausted	0.6310934835295553
CD74	JUNB	CD8 Exhausted	0.6164456597157089
NEAT1	JUNB	CD8 Exhausted	0.6057889082448655
MAP1LC3A	JUNB	CD8 Exhausted	0.5999670563598684
EIF4A1	JUNB	CD8 Exhausted	0.5649631596881144
HSPH1	JUNB	CD8 Exhausted	0.5582682856544438
TNFAIP3	JUNB	CD8 Exhausted	0.5579347847127777
PCED1B	JUNB	CD8 Exhausted	0.5523763440135936
ANP32B	JUNB	CD8 Exhausted	0.5455864071150424
PPP1R15A	JUNB	CD8 Exhausted	0.5318899298190689
LYST	JUNB	CD8 Exhausted	0.5214024680320287
STAT3	JUNB	CD8 Exhausted	0.4703332222617587
ZEB2	JUNB	CD8 Exhausted	0.450826110556645
SAT1	JUNB	CD8 Exhausted	0.4386462297284251
GLRX	JUNB	CD8 Exhausted	0.4341068484546024
HSPA5	JUNB	CD8 Exhausted	0.4322136754817385
ABLIM1	JUNB	CD8 Exhausted	0.4278455523008041
TIMP1	JUNB	CD8 Exhausted	0.4098815497633342
FAM46C	JUNB	CD8 Exhausted	0.4092742075648682
BHLHE40	JUNB	CD8 Exhausted	0.4092646634331554
TSC22D3	JUNB	CD8 Exhausted	0.4085181115915534
SYTL3	JUNB	CD8 Exhausted	0.3851434395148286
CREM	JUNB	CD8 Exhausted	0.3361637942005885
FYN	JUNB	CD8 Exhausted	0.2774366980538949
JUND	JUNB	CD8 Exhausted	0.2481902474012476
CD4	JUNB	CD8 Exhausted	0.2432050526461275
RNF19A	JUNB	CD8 Exhausted	0.2345270669999777
NR3C1	JUNB	CD8 Exhausted	0.2333762340811864
CSRNP1	JUNB	CD8 Exhausted	0.2130448238978965
RPS27	JUNB	CD8 Exhausted	0.1910238475097564
FTH1	JUND	CD8 Exhausted	2.747818954689892
ZFP36	JUND	CD8 Exhausted	1.7969496150053064
UPP1	JUND	CD8 Exhausted	1.56303291542269
ZFP36L2	JUND	CD8 Exhausted	1.4985408103437947
ADGRE5	JUND	CD8 Exhausted	1.380593527441384
ATP1B3	JUND	CD8 Exhausted	1.3325383539936544
GPCPD1	JUND	CD8 Exhausted	1.2761133957214366
KDM6B	JUND	CD8 Exhausted	1.21914652218603
TESC	JUND	CD8 Exhausted	1.2092381310441858
STAM	JUND	CD8 Exhausted	1.1331116010212423
SLC7A5	JUND	CD8 Exhausted	1.129160582069771
PDE4B	JUND	CD8 Exhausted	1.1182418519022117
GLRX	JUND	CD8 Exhausted	1.092602765376962
CREM	JUND	CD8 Exhausted	1.0710800851097817
SESN3	JUND	CD8 Exhausted	1.0614236207107288
GABARAPL1	JUND	CD8 Exhausted	1.054264998156314
IL21R	JUND	CD8 Exhausted	1.051826589305426
YPEL5	JUND	CD8 Exhausted	1.0457204591619444
GPR183	JUND	CD8 Exhausted	1.0359953240296726
ZNF331	JUND	CD8 Exhausted	1.012461974924694
SRSF7	JUND	CD8 Exhausted	1.0071482977363957
JUND	JUND	CD8 Exhausted	1.0
PIK3IP1	JUND	CD8 Exhausted	0.9906983369816712
JOSD1	JUND	CD8 Exhausted	0.9753721515821044
PTP4A1	JUND	CD8 Exhausted	0.9634128159530336
LITAF	JUND	CD8 Exhausted	0.9338547125154788
RNF19A	JUND	CD8 Exhausted	0.9134720382826468
ABLIM1	JUND	CD8 Exhausted	0.8272740319166965
BTG1	JUND	CD8 Exhausted	0.8069383252573796
FAM46C	JUND	CD8 Exhausted	0.8064862670370523
PRKX	JUND	CD8 Exhausted	0.7853189095012465
DYNLT3	JUND	CD8 Exhausted	0.7848570645560782
PABPC1	JUND	CD8 Exhausted	0.7670514887914361
CCNH	JUND	CD8 Exhausted	0.7564489467264037
IRF2BP2	JUND	CD8 Exhausted	0.7553726011215254
EML4	JUND	CD8 Exhausted	0.7552610318329734
FOSL2	JUND	CD8 Exhausted	0.7543595319026085
BIRC3	JUND	CD8 Exhausted	0.7498025477584802
ARAP2	JUND	CD8 Exhausted	0.7482007264201405
EIF4A1	JUND	CD8 Exhausted	0.7404313510130793
FOXP1	JUND	CD8 Exhausted	0.7375294487165215
GLIPR1	JUND	CD8 Exhausted	0.7249468488023454
SARAF	JUND	CD8 Exhausted	0.7129913103612989
SYTL3	JUND	CD8 Exhausted	0.6952726800769233
RGCC	JUND	CD8 Exhausted	0.6944054716954993
RPL13A	JUND	CD8 Exhausted	0.6940855758404695
ARHGEF7	JUND	CD8 Exhausted	0.6915420378493667
BCL2L11	JUND	CD8 Exhausted	0.6910757216930569
STAT4	JUND	CD8 Exhausted	0.6879977967349437
OAT	JUND	CD8 Exhausted	0.6315053504681384
SYAP1	JUND	CD8 Exhausted	0.6273127661683344
NFKBIZ	JUND	CD8 Exhausted	0.6254841414930776
SRRT	JUND	CD8 Exhausted	0.611865344327909
NFATC2	JUND	CD8 Exhausted	0.6051569502040278
JUN	JUND	CD8 Exhausted	0.603426514242833
MVP	JUND	CD8 Exhausted	0.6021440215857131
BIRC2	JUND	CD8 Exhausted	0.5792458985819643
ATP2B4	JUND	CD8 Exhausted	0.5684001809759539
IL7R	JUND	CD8 Exhausted	0.5592987546186867
SPOCK2	JUND	CD8 Exhausted	0.5497045455614511
ZC3H12A	JUND	CD8 Exhausted	0.5379185124558199
NR4A2	JUND	CD8 Exhausted	0.5355939377340777
IER2	JUND	CD8 Exhausted	0.5093856645596436
FYN	JUND	CD8 Exhausted	0.5031251714056773
IL10RA	JUND	CD8 Exhausted	0.4694988422744569
RGS2	JUND	CD8 Exhausted	0.4588955564131472
TSC22D3	JUND	CD8 Exhausted	0.4355209722032639
DUSP16	JUND	CD8 Exhausted	0.4276719529189821
PIK3R1	JUND	CD8 Exhausted	0.4215250610584932
CST7	JUND	CD8 Exhausted	0.4089927784125052
REL	JUND	CD8 Exhausted	0.3948589610225375
MARCKSL1	JUND	CD8 Exhausted	0.3945509808786841
CHMP1B	JUND	CD8 Exhausted	0.3931743540464788
SLC39A8	JUND	CD8 Exhausted	0.3904743668874044
RPS27	JUND	CD8 Exhausted	0.3887421968919491
SMCHD1	JUND	CD8 Exhausted	0.3805928004074759
CYSTM1	JUND	CD8 Exhausted	0.3772986464625361
NR3C1	JUND	CD8 Exhausted	0.3763420376184421
VPS37B	JUND	CD8 Exhausted	0.3624462113000558
DUSP2	JUND	CD8 Exhausted	0.3598589646676219
CDKN1A	JUND	CD8 Exhausted	0.356436257064824
TUBA4A	JUND	CD8 Exhausted	0.3490072518056378
TRAF4	JUND	CD8 Exhausted	0.3391555575982192
RPS29	JUND	CD8 Exhausted	0.3374863533380928
TSHZ2	JUND	CD8 Exhausted	0.3318140558338788
GADD45B	JUND	CD8 Exhausted	0.321945194622343
RAB11FIP1	JUND	CD8 Exhausted	0.3168459046109494
TGFBR2	JUND	CD8 Exhausted	0.313874611867302
APMAP	JUND	CD8 Exhausted	0.3110335184434044
PITPNC1	JUND	CD8 Exhausted	0.3069656796110286
PARP8	JUND	CD8 Exhausted	0.2996276058462812
PPP1R16B	JUND	CD8 Exhausted	0.2920524152254802
USP11	JUND	CD8 Exhausted	0.2879304507398145
CHD2	JUND	CD8 Exhausted	0.2873550342999655
NEAT1	JUND	CD8 Exhausted	0.2857959708481314
CRIP1	JUND	CD8 Exhausted	0.2826411793595793
CD4	JUND	CD8 Exhausted	0.2741503068799252
FTL	JUND	CD8 Exhausted	0.2620036243613272
FAM177A1	JUND	CD8 Exhausted	0.2533910601656458
TNFAIP3	JUND	CD8 Exhausted	0.2439360199588078
XBP1	JUND	CD8 Exhausted	0.2318275171156402
JUNB	JUND	CD8 Exhausted	0.2257801997766777
STAT5B	JUND	CD8 Exhausted	0.2222752286940408
CD44	JUND	CD8 Exhausted	0.2166614474923691
LMBRD1	JUND	CD8 Exhausted	0.2106932101550322
RFTN1	JUND	CD8 Exhausted	0.189164884394648
PIM3	JUND	CD8 Exhausted	0.185454270636359
HSPH1	JUND	CD8 Exhausted	0.1829070940120146
PTGER4	JUND	CD8 Exhausted	0.1538017268127401
RGS1	JUND	CD8 Exhausted	0.152922723607741
ARID5A	JUND	CD8 Exhausted	0.1333460223038523
MAF	JUND	CD8 Exhausted	0.1317240700320982
PBXIP1	JUND	CD8 Exhausted	0.1256994203395244
LDLRAD4	JUND	CD8 Exhausted	0.108703255050653
CD247	MAF	CD8 Exhausted	2.522189122611503
SH2D1A	MAF	CD8 Exhausted	2.4128535174717887
CD4	MAF	CD8 Exhausted	2.053252054962679
TNFAIP8	MAF	CD8 Exhausted	1.5713748219561947
LYST	MAF	CD8 Exhausted	1.39174665990922
GALM	MAF	CD8 Exhausted	1.3864522498013307
SNX9	MAF	CD8 Exhausted	1.3058066084307522
TBC1D4	MAF	CD8 Exhausted	1.277959285529548
IL7R	MAF	CD8 Exhausted	1.08173719366175
GADD45A	MAF	CD8 Exhausted	1.0703465666951075
PDE4D	MAF	CD8 Exhausted	1.0618334915941858
DUSP4	MAF	CD8 Exhausted	1.0404065071039832
FAM46C	MAF	CD8 Exhausted	1.021030284524686
MAF	MAF	CD8 Exhausted	1.0
CREM	MAF	CD8 Exhausted	0.9152127507775718
SQSTM1	MAF	CD8 Exhausted	0.8967073352846132
PKM	MAF	CD8 Exhausted	0.8831619200054365
SPOCK2	MAF	CD8 Exhausted	0.87864907784366
HTATIP2	MAF	CD8 Exhausted	0.8382230815313684
RPS29	MAF	CD8 Exhausted	0.7253902428921818
PRDM1	MAF	CD8 Exhausted	0.6597230477276769
TRAF4	MAF	CD8 Exhausted	0.5886157471666008
NR3C1	MAF	CD8 Exhausted	0.5616094762463107
ASAH1	MAF	CD8 Exhausted	0.5370233908728858
MIR4435-2HG	MAF	CD8 Exhausted	0.5227954269308173
CCL5	NFATC2	CD8 Exhausted	1.3412954089460198
LITAF	NFATC2	CD8 Exhausted	1.188940108796232
NR4A2	NFATC2	CD8 Exhausted	1.089341548245229
NFATC2	NFATC2	CD8 Exhausted	1.0
FYN	NFATC2	CD8 Exhausted	0.996094706461816
CD8A	NFATC2	CD8 Exhausted	0.8736100512323373
TGFB1	NFATC2	CD8 Exhausted	0.7896795043162954
ITM2C	NFATC2	CD8 Exhausted	0.6170993037099618
SEMA4D	NFATC2	CD8 Exhausted	0.5803955359004395
NEAT1	NFKB1	CD8 Exhausted	2.6131986878198865
REL	NFKB1	CD8 Exhausted	2.4036033623819577
CD83	NFKB1	CD8 Exhausted	2.2852794757976542
TNFAIP8	NFKB1	CD8 Exhausted	2.2345844307534044
TRAF1	NFKB1	CD8 Exhausted	1.9799073538760328
SERPINB9	NFKB1	CD8 Exhausted	1.9744885974698168
HLA-DQB1	NFKB1	CD8 Exhausted	1.8879280714487556
NFKBIA	NFKB1	CD8 Exhausted	1.7354706397993025
HLA-DRB5	NFKB1	CD8 Exhausted	1.6690765746736675
CDC42EP3	NFKB1	CD8 Exhausted	1.486190281527512
PEA15	NFKB1	CD8 Exhausted	1.4854194445048587
HLA-DQA1	NFKB1	CD8 Exhausted	1.482683859307856
KDM6B	NFKB1	CD8 Exhausted	1.37557011509842
CDKN1A	NFKB1	CD8 Exhausted	1.3353928176886087
BID	NFKB1	CD8 Exhausted	1.2294081449705607
SESN3	NFKB1	CD8 Exhausted	1.1302984413948294
IL2RB	NFKB1	CD8 Exhausted	1.1070620850757702
NFKB1	NFKB1	CD8 Exhausted	1.0
FAM107B	NFKB1	CD8 Exhausted	0.982331521796945
PDE4DIP	NFKB1	CD8 Exhausted	0.9514502398734496
RHBDF2	NFKB1	CD8 Exhausted	0.9392404115611884
FOXP1	NFKB1	CD8 Exhausted	0.936310178643862
RTN4	NFKB1	CD8 Exhausted	0.9286317783681473
NINJ1	NFKB1	CD8 Exhausted	0.9013900285300802
MAP3K8	NFKB1	CD8 Exhausted	0.8869293696831487
BAZ1A	NFKB1	CD8 Exhausted	0.8668138338075188
SATB1	NFKB1	CD8 Exhausted	0.8213475522227617
GLRX	NFKB1	CD8 Exhausted	0.8009121480718363
CCR7	NFKB1	CD8 Exhausted	0.784457032108363
SQSTM1	NFKB1	CD8 Exhausted	0.7038759566062357
ANP32E	NFKB1	CD8 Exhausted	0.6818967792634595
POR	NFKB1	CD8 Exhausted	0.6743444748801688
LDLRAD4	NFKB1	CD8 Exhausted	0.6637637920306564
GGA2	NFKB1	CD8 Exhausted	0.6402604338345247
ANXA2	NFKB1	CD8 Exhausted	0.6202422716998953
HSPB1	NFKB1	CD8 Exhausted	0.6145422743185636
NFKB2	NFKB1	CD8 Exhausted	0.6021539758965561
GPX1	NFKB1	CD8 Exhausted	0.5930347176677698
NFKBIZ	NFKB1	CD8 Exhausted	0.5550702660033333
NDRG1	NFKB1	CD8 Exhausted	0.5543500462496664
RAB11FIP1	NFKB1	CD8 Exhausted	0.5429038016242084
MAF	NFKB1	CD8 Exhausted	0.537250129666562
LIMS1	NFKB1	CD8 Exhausted	0.5129382626720693
CD63	NFKB1	CD8 Exhausted	0.4763994470307979
HMGA1	NFKB1	CD8 Exhausted	0.4746241948345259
NFATC2	NFKB1	CD8 Exhausted	0.4087499987702525
BIRC2	NFKB1	CD8 Exhausted	0.40442716159962
FTH1	NFKB1	CD8 Exhausted	0.4007263164685554
TPM4	NFKB1	CD8 Exhausted	0.3772871841982457
ZC3H12A	NFKB1	CD8 Exhausted	0.3643426657921331
DNAJB1	NFKB1	CD8 Exhausted	0.3521765383385506
CYSTM1	NFKB1	CD8 Exhausted	0.3398882993999582
BIRC3	NFKB1	CD8 Exhausted	0.3170724278266969
FOSL2	NFKB1	CD8 Exhausted	0.3140382072330825
ASAH1	NFKB1	CD8 Exhausted	0.312107166684364
CTSS	NFKB1	CD8 Exhausted	0.3065616525553204
LCP1	NFKB1	CD8 Exhausted	0.2971765870554302
CAPG	NFKB1	CD8 Exhausted	0.2799443875197039
TNFRSF4	NFKB1	CD8 Exhausted	0.2476751353496987
RFTN1	NFKB1	CD8 Exhausted	0.245720968906778
AHNAK	NFKB1	CD8 Exhausted	0.2411063407652798
GATA3	NFKB1	CD8 Exhausted	0.2394107381710054
GYG1	NFKB1	CD8 Exhausted	0.2149785824619759
MYADM	NFKB1	CD8 Exhausted	0.1832367981405393
YPEL5	NFKB1	CD8 Exhausted	0.1659331011041583
ACTB	NFKB1	CD8 Exhausted	0.0769555798917047
SMS	NFKB1	CD8 Exhausted	0.0393383788484076
SEC11C	NFKB2	CD8 Exhausted	1.9265899045155284
PIM3	NFKB2	CD8 Exhausted	1.6027160023402225
TNFRSF1B	NFKB2	CD8 Exhausted	1.26117173616433
TNFRSF4	NFKB2	CD8 Exhausted	1.2151970287621603
NFKB2	NFKB2	CD8 Exhausted	1.0
NINJ1	NFKB2	CD8 Exhausted	0.9944789470079582
CD63	NFKB2	CD8 Exhausted	0.934630161982825
SOX4	NFKB2	CD8 Exhausted	0.911966206766975
GRAMD1A	NFKB2	CD8 Exhausted	0.8856009265852713
GALNT2	NFKB2	CD8 Exhausted	0.847656355794848
LYST	NFKB2	CD8 Exhausted	0.8342988550493755
LTB	NFKB2	CD8 Exhausted	0.7570156698659992
RFTN1	NFKB2	CD8 Exhausted	0.7472214708713071
CD4	NFKB2	CD8 Exhausted	0.7351302696496848
KDM6B	NFKB2	CD8 Exhausted	0.730997118937224
HLA-DRB5	NFKB2	CD8 Exhausted	0.7032262563182655
GATA3	NFKB2	CD8 Exhausted	0.6996826639545014
GPX1	NFKB2	CD8 Exhausted	0.6592161865606112
BATF	NFKB2	CD8 Exhausted	0.6424110317698585
SQSTM1	NFKB2	CD8 Exhausted	0.6169077847512536
MAF	NFKB2	CD8 Exhausted	0.5909565362248164
CD83	NFKB2	CD8 Exhausted	0.584463259273018
SATB1	NFKB2	CD8 Exhausted	0.5507723051106421
TNFAIP8	NFKB2	CD8 Exhausted	0.5344414901035022
CD69	NFKB2	CD8 Exhausted	0.5243674753770577
PRDM1	NFKB2	CD8 Exhausted	0.5074464485307806
DNAJB1	NFKB2	CD8 Exhausted	0.5026633169393391
BIRC3	NFKB2	CD8 Exhausted	0.4812622450559563
PRF1	NFKB2	CD8 Exhausted	0.4780252953209764
HLA-DQB1	NFKB2	CD8 Exhausted	0.4629254704138626
LY6E	NFKB2	CD8 Exhausted	0.4330938676231584
RTN4	NFKB2	CD8 Exhausted	0.4020697177047247
RAB11FIP1	NFKB2	CD8 Exhausted	0.3844412648909746
ZC3H12A	NFKB2	CD8 Exhausted	0.3825955588479616
POR	NFKB2	CD8 Exhausted	0.3813695498218226
STAT5A	NFKB2	CD8 Exhausted	0.3589450879454274
NFKBIA	NFKB2	CD8 Exhausted	0.3541764597748971
JOSD1	NFKB2	CD8 Exhausted	0.3165193255181185
NFKBIZ	NFKB2	CD8 Exhausted	0.2980151950894106
HSPB1	NFKB2	CD8 Exhausted	0.2919512457596463
CTLA4	NFKB2	CD8 Exhausted	0.2893980547433551
NEAT1	NFKB2	CD8 Exhausted	0.2861849914461403
NFKB1	NFKB2	CD8 Exhausted	0.2835416245504739
TRAF3IP3	NFKB2	CD8 Exhausted	0.28065388465483
FOXP1	NFKB2	CD8 Exhausted	0.2723713033431709
DDIT4	NFKB2	CD8 Exhausted	0.2629433625409167
CDC42EP3	NFKB2	CD8 Exhausted	0.2594535023908825
IL2RB	NFKB2	CD8 Exhausted	0.2593766366927822
PTMS	NFKB2	CD8 Exhausted	0.2413597545648586
AUTS2	NFKB2	CD8 Exhausted	0.2318727677696423
BHLHE40	NFKB2	CD8 Exhausted	0.2290819838634916
TPM4	NFKB2	CD8 Exhausted	0.2175528645349475
PTGER4	NFKB2	CD8 Exhausted	0.2170632645883202
GLRX	NFKB2	CD8 Exhausted	0.195286456505192
TRAF1	NFKB2	CD8 Exhausted	0.1905838820703061
ITPR1	NFKB2	CD8 Exhausted	0.1589426675821058
STAT3	NFKB2	CD8 Exhausted	0.1378266521304138
CSRNP1	NFKB2	CD8 Exhausted	0.1376643097027349
TGIF1	NFKB2	CD8 Exhausted	0.1241203957735174
PDE4D	NFKB2	CD8 Exhausted	0.1155092989846592
RGS2	NFKB2	CD8 Exhausted	0.1102098839727573
PDE4D	PRDM1	CD8 Exhausted	1.6996887335320077
TSHZ2	PRDM1	CD8 Exhausted	1.579587845142894
SYTL2	PRDM1	CD8 Exhausted	1.5767970649244922
ITPR1	PRDM1	CD8 Exhausted	1.561406869750305
OASL	PRDM1	CD8 Exhausted	1.482900920802518
GATA3	PRDM1	CD8 Exhausted	1.292600426350395
LCP1	PRDM1	CD8 Exhausted	1.2760153557205545
RHBDF2	PRDM1	CD8 Exhausted	1.15912421937098
TGIF1	PRDM1	CD8 Exhausted	1.1386965580513386
PRDM1	PRDM1	CD8 Exhausted	1.0
PDCD1	PRDM1	CD8 Exhausted	0.9765915185509052
KDM6B	PRDM1	CD8 Exhausted	0.9524336939856388
ARAP2	PRDM1	CD8 Exhausted	0.9349478846523676
ICOS	PRDM1	CD8 Exhausted	0.9181378531970324
PTMS	PRDM1	CD8 Exhausted	0.8769558177340738
BATF	PRDM1	CD8 Exhausted	0.872347113535977
DUSP16	PRDM1	CD8 Exhausted	0.8684099005610014
LYST	PRDM1	CD8 Exhausted	0.8647197335543395
RGS1	PRDM1	CD8 Exhausted	0.8369946517881884
CD53	PRDM1	CD8 Exhausted	0.831237972427092
TNFRSF1B	PRDM1	CD8 Exhausted	0.8076895024011629
PCED1B	PRDM1	CD8 Exhausted	0.77785909584883
PPP1R16B	PRDM1	CD8 Exhausted	0.7486589300484314
APLP2	PRDM1	CD8 Exhausted	0.7483392169557743
CSRP1	PRDM1	CD8 Exhausted	0.7068583947409237
BTG1	PRDM1	CD8 Exhausted	0.6935194223197446
SOX4	PRDM1	CD8 Exhausted	0.681742158985932
CXCR3	PRDM1	CD8 Exhausted	0.6259839915379505
STAT3	PRDM1	CD8 Exhausted	0.6087554926662732
SAMSN1	PRDM1	CD8 Exhausted	0.6081571378418296
IFI6	PRDM1	CD8 Exhausted	0.5807418419300461
STAT5A	PRDM1	CD8 Exhausted	0.5749898673114698
BIRC3	PRDM1	CD8 Exhausted	0.5640206569069366
HLA-B	PRDM1	CD8 Exhausted	0.5296242958828484
RFTN1	PRDM1	CD8 Exhausted	0.5081657157410817
FAM65B	PRDM1	CD8 Exhausted	0.4814456614811068
JAML	PRDM1	CD8 Exhausted	0.4487916522087796
CMIP	PRDM1	CD8 Exhausted	0.4061197695513933
TNFSF10	PRDM1	CD8 Exhausted	0.3449812625781733
FAM46C	PRDM1	CD8 Exhausted	0.3150141105797183
CAPG	PRDM1	CD8 Exhausted	0.3095896422427964
AKNA	PRDM1	CD8 Exhausted	0.300699355768101
TSC22D3	PRDM1	CD8 Exhausted	0.2850155301841795
CARD16	PRDM1	CD8 Exhausted	0.2808171211729337
SOCS1	PRDM1	CD8 Exhausted	0.2230362214068088
ISG15	PRDM1	CD8 Exhausted	0.2112176621111071
DOK2	PRDM1	CD8 Exhausted	0.1808930322006906
RNF19A	PRDM1	CD8 Exhausted	0.1585838439832805
ALOX5AP	PRDM1	CD8 Exhausted	0.1302309519778738
NFKBIA	REL	CD8 Exhausted	5.014863006019731
CD83	REL	CD8 Exhausted	4.874048064428427
HLA-DQB1	REL	CD8 Exhausted	4.263309039721399
NINJ1	REL	CD8 Exhausted	4.229542155323608
HLA-DRA	REL	CD8 Exhausted	3.9143308423525935
HLA-DRB5	REL	CD8 Exhausted	3.858462807286211
BID	REL	CD8 Exhausted	3.654191867067743
CD74	REL	CD8 Exhausted	3.62210837604404
SERPINB9	REL	CD8 Exhausted	3.587346508133704
