target	regulator	condition	weight
IL21R	BATF	CD8 Exhausted	1.3235351306735774
UBA1	BATF	CD8 Exhausted	1.255102789888136
SH2D1A	BATF	CD8 Exhausted	1.2523580839943256
TOM1	BATF	CD8 Exhausted	1.1644328936247024
CD247	BATF	CD8 Exhausted	1.1470778252074838
AHNAK	BATF	CD8 Exhausted	1.1092941192782535
JOSD1	BATF	CD8 Exhausted	1.057739652560057
SHMT2	BATF	CD8 Exhausted	1.029950982371485
LIMS1	BATF	CD8 Exhausted	1.0066212190778894
ACOT9	BATF	CD8 Exhausted	1.004472425688904
EMP3	BATF	CD8 Exhausted	0.9674152500761388
LGALS1	BATF	CD8 Exhausted	0.9369412266385716
PRDM1	BATF	CD8 Exhausted	0.9036021722420914
ASAH1	BATF	CD8 Exhausted	0.8899765881042065
DOK2	BATF	CD8 Exhausted	0.880999086211701
GADD45A	BATF	CD8 Exhausted	0.8724647988699512
NINJ1	BATF	CD8 Exhausted	0.7708078679658251
SRSF7	BATF	CD8 Exhausted	0.7596306557318763
STAT5B	BATF	CD8 Exhausted	0.7387264890582895
NFKB2	BATF	CD8 Exhausted	0.7376522312502962
SMS	BATF	CD8 Exhausted	0.7221515510116207
SLC1A4	BATF	CD8 Exhausted	0.7138718815832495
BCL2L11	BATF	CD8 Exhausted	0.7034972351807348
GPX1	BATF	CD8 Exhausted	0.664862761384039
NAMPT	BATF	CD8 Exhausted	0.6493022208918884
TRAF1	BATF	CD8 Exhausted	0.6438330394783164
XAB2	BATF	CD8 Exhausted	0.6252374361112882
NEAT1	BATF	CD8 Exhausted	0.5768131713593657
IDH2	BATF	CD8 Exhausted	0.5679170340787466
STAT5A	BATF	CD8 Exhausted	0.5347694258264196
MVP	BATF	CD8 Exhausted	0.5304507264081514
SATB1	BATF	CD8 Exhausted	0.5223959287813607
PDE4D	BATF	CD8 Exhausted	0.5114066846521029
FAM46C	BATF	CD8 Exhausted	0.4878911979887971
PSAP	BATF	CD8 Exhausted	0.4669649286932518
ITGAE	BATF	CD8 Exhausted	0.4640619746375394
SAT1	BATF	CD8 Exhausted	0.4269191937635981
HERPUD1	BATF	CD8 Exhausted	0.4199026280486946
IKZF3	BATF	CD8 Exhausted	0.4038421267166268
BTG2	BATF	CD8 Exhausted	0.3660716940848257
MT2A	BATF	CD8 Exhausted	0.3638912078757357
CD63	BATF	CD8 Exhausted	0.3273544447416083
TSC22D3	BATF	CD8 Exhausted	0.2915150384122195
JUN	BHLHE40	CD8 Exhausted	3.386072047111905
TSHZ2	BHLHE40	CD8 Exhausted	2.135509413668689
SYTL3	BHLHE40	CD8 Exhausted	1.4965204365041571
NCDN	BHLHE40	CD8 Exhausted	1.3217476804277284
DUSP1	BHLHE40	CD8 Exhausted	1.2785256726567926
NR3C1	BHLHE40	CD8 Exhausted	1.2447656919048689
MAF	BHLHE40	CD8 Exhausted	1.1017526812562837
GATA3	BHLHE40	CD8 Exhausted	1.0591134301673364
IER2	BHLHE40	CD8 Exhausted	1.029538086742906
KDM6B	BHLHE40	CD8 Exhausted	0.9777901883775104
GMFG	BHLHE40	CD8 Exhausted	0.9222969230376163
DYNLT3	BHLHE40	CD8 Exhausted	0.8848898851128757
ARID5A	BHLHE40	CD8 Exhausted	0.8554711439875097
GK	BHLHE40	CD8 Exhausted	0.855260506632618
CSRNP1	BHLHE40	CD8 Exhausted	0.8365298973237646
ZNF331	BHLHE40	CD8 Exhausted	0.8212396079800245
CSRP1	BHLHE40	CD8 Exhausted	0.8172892485671616
INSIG1	BHLHE40	CD8 Exhausted	0.7852076764319355
FYN	BHLHE40	CD8 Exhausted	0.750901855684181
CDKN1A	BHLHE40	CD8 Exhausted	0.7266758591669878
CMIP	BHLHE40	CD8 Exhausted	0.6915030924548867
FOXP1	BHLHE40	CD8 Exhausted	0.6513321918374142
PPP1R15A	BHLHE40	CD8 Exhausted	0.6326573277872064
ZEB2	BHLHE40	CD8 Exhausted	0.6111507929671394
RTN4	BHLHE40	CD8 Exhausted	0.6110291834447409
JUND	BHLHE40	CD8 Exhausted	0.575362331344111
ELL2	BHLHE40	CD8 Exhausted	0.5040153598322716
NINJ1	BHLHE40	CD8 Exhausted	0.4953108683088449
PIM3	BHLHE40	CD8 Exhausted	0.4856230275804316
MAP1LC3A	BHLHE40	CD8 Exhausted	0.4720903007022179
SLC39A8	BHLHE40	CD8 Exhausted	0.439292910854158
JOSD1	BHLHE40	CD8 Exhausted	0.4278117019930302
BTG1	BHLHE40	CD8 Exhausted	0.3729745075859907
LDLRAD4	BHLHE40	CD8 Exhausted	0.3304487472849726
MAP3K8	BHLHE40	CD8 Exhausted	0.2822449626730705
CREM	BHLHE40	CD8 Exhausted	0.2774561946232293
FOS	BHLHE40	CD8 Exhausted	0.1987512334753927
NFKB2	BHLHE40	CD8 Exhausted	0.1783685337128031
NR4A2	BHLHE40	CD8 Exhausted	0.146502809161081
BTG1	CREM	CD8 Exhausted	3.468796850077098
ATP1B3	CREM	CD8 Exhausted	2.8882762204088976
DUSP4	CREM	CD8 Exhausted	2.187402096589457
ARHGEF7	CREM	CD8 Exhausted	2.129168841121141
LEPROTL1	CREM	CD8 Exhausted	2.084311943486557
VPS37B	CREM	CD8 Exhausted	2.074092088548232
STK17B	CREM	CD8 Exhausted	1.9801754808122969
TGIF1	CREM	CD8 Exhausted	1.967120224557719
NR3C1	CREM	CD8 Exhausted	1.8929849691557004
ZFP36	CREM	CD8 Exhausted	1.8642335566947643
SARAF	CREM	CD8 Exhausted	1.788986612576282
ZFP36L2	CREM	CD8 Exhausted	1.7658913689920108
SRSF7	CREM	CD8 Exhausted	1.7408241737003924
SPOCK2	CREM	CD8 Exhausted	1.6630034828805125
RPS27	CREM	CD8 Exhausted	1.6521419449471753
SRGN	CREM	CD8 Exhausted	1.639069520363062
PIK3R1	CREM	CD8 Exhausted	1.51630168112004
TNFAIP3	CREM	CD8 Exhausted	1.5113337257444148
JUND	CREM	CD8 Exhausted	1.39211754620474
RPS29	CREM	CD8 Exhausted	1.3748094171666088
STAT5B	CREM	CD8 Exhausted	1.296240245898315
IRF2BP2	CREM	CD8 Exhausted	1.2881262910955766
DUSP2	CREM	CD8 Exhausted	1.2429261491555483
GLIPR1	CREM	CD8 Exhausted	1.2254094543581098
LITAF	CREM	CD8 Exhausted	1.2244871177341885
IL10RA	CREM	CD8 Exhausted	1.2168765513278164
CST7	CREM	CD8 Exhausted	1.2130301955610534
SYTL3	CREM	CD8 Exhausted	1.1812035878549565
SMCHD1	CREM	CD8 Exhausted	1.1794887814220658
FAM46C	CREM	CD8 Exhausted	1.1654615558814445
FAM177A1	CREM	CD8 Exhausted	1.1371541762458093
EML4	CREM	CD8 Exhausted	1.1314660873284457
TUBA4A	CREM	CD8 Exhausted	1.1124644994511237
PPP1R16B	CREM	CD8 Exhausted	1.1012965845812983
PABPC1	CREM	CD8 Exhausted	1.100172844040336
SH2D1A	CREM	CD8 Exhausted	1.0948711964586322
PBXIP1	CREM	CD8 Exhausted	1.037848764593704
RNF19A	CREM	CD8 Exhausted	1.0177833810936572
CREM	CREM	CD8 Exhausted	1.0
CDKN1B	CREM	CD8 Exhausted	0.998500229800823
GPCPD1	CREM	CD8 Exhausted	0.962959933676375
BAZ1A	CREM	CD8 Exhausted	0.9441601647330472
ZNF331	CREM	CD8 Exhausted	0.9301898280637906
FOSL2	CREM	CD8 Exhausted	0.9205504774059676
DUSP16	CREM	CD8 Exhausted	0.9155915219812584
SYAP1	CREM	CD8 Exhausted	0.9090310683438836
FYN	CREM	CD8 Exhausted	0.8962668919784353
FOXP1	CREM	CD8 Exhausted	0.8850523990887138
CD44	CREM	CD8 Exhausted	0.8461569168086956
GK	CREM	CD8 Exhausted	0.7792056551120123
CD4	CREM	CD8 Exhausted	0.7750238052950174
JOSD1	CREM	CD8 Exhausted	0.7667670627488916
CRIP1	CREM	CD8 Exhausted	0.7348299331905014
DCP1B	CREM	CD8 Exhausted	0.72041017549031
PDE4B	CREM	CD8 Exhausted	0.7156951266007834
GABARAPL1	CREM	CD8 Exhausted	0.7128677486701678
RHBDF2	CREM	CD8 Exhausted	0.7014310012641247
NFATC2	CREM	CD8 Exhausted	0.6788619856557742
LINC00152	CREM	CD8 Exhausted	0.6618518824821518
SAMSN1	CREM	CD8 Exhausted	0.661818342712256
ELL2	CREM	CD8 Exhausted	0.6593555168365666
ANXA1	CREM	CD8 Exhausted	0.6391765492629581
MARCKSL1	CREM	CD8 Exhausted	0.6367460210816361
SATB1	CREM	CD8 Exhausted	0.6357417967985526
XAB2	CREM	CD8 Exhausted	0.6331905330410249
IL21R	CREM	CD8 Exhausted	0.6261920815995965
CD53	CREM	CD8 Exhausted	0.6175456605105369
GPR183	CREM	CD8 Exhausted	0.5910445734420515
PITPNC1	CREM	CD8 Exhausted	0.5678209708836154
RALGAPA1	CREM	CD8 Exhausted	0.5674217589549313
FAM65B	CREM	CD8 Exhausted	0.566445487492612
CCND2	CREM	CD8 Exhausted	0.5605024765342643
SPTAN1	CREM	CD8 Exhausted	0.5590843963910336
GATA3	CREM	CD8 Exhausted	0.5124371007212584
PTP4A1	CREM	CD8 Exhausted	0.511549611011201
CD7	CREM	CD8 Exhausted	0.5095078237561909
STAT3	CREM	CD8 Exhausted	0.5040247411191711
NR4A2	CREM	CD8 Exhausted	0.5036721010636235
NCDN	CREM	CD8 Exhausted	0.4719811229635779
EIF4A1	CREM	CD8 Exhausted	0.4674935583777901
LYST	CREM	CD8 Exhausted	0.4672031463811148
PRNP	CREM	CD8 Exhausted	0.4641709154522895
PRKX	CREM	CD8 Exhausted	0.4596089374538176
MAF	CREM	CD8 Exhausted	0.455758956394899
CSRP1	CREM	CD8 Exhausted	0.4541842007041031
RFTN1	CREM	CD8 Exhausted	0.4386949568825229
APMAP	CREM	CD8 Exhausted	0.4361200439402152
INSIG1	CREM	CD8 Exhausted	0.4351040280838191
SESN3	CREM	CD8 Exhausted	0.4272207244885835
ARID5A	CREM	CD8 Exhausted	0.4102823357610802
RGS1	CREM	CD8 Exhausted	0.3969708382265237
ADGRE5	CREM	CD8 Exhausted	0.3884750169442772
GYG1	CREM	CD8 Exhausted	0.3877580735112663
ATP2B4	CREM	CD8 Exhausted	0.3729071408333958
DNAJC1	CREM	CD8 Exhausted	0.3684671664554732
RGS2	CREM	CD8 Exhausted	0.3638670530633469
USP11	CREM	CD8 Exhausted	0.3610034545441483
KDM6B	CREM	CD8 Exhausted	0.356695235359421
IKZF3	CREM	CD8 Exhausted	0.3549068309947361
TRAF1	CREM	CD8 Exhausted	0.3391293767671439
HSPA5	CREM	CD8 Exhausted	0.3366119669085745
ZEB2	CREM	CD8 Exhausted	0.3191987427270404
LDLRAD4	CREM	CD8 Exhausted	0.3187197182576622
HTATIP2	CREM	CD8 Exhausted	0.3127224317731955
TNFRSF1B	CREM	CD8 Exhausted	0.310375976061927
MAP3K8	CREM	CD8 Exhausted	0.2937393821296223
CYSTM1	CREM	CD8 Exhausted	0.2925599280053982
CHMP1B	CREM	CD8 Exhausted	0.2877368202937803
CMIP	CREM	CD8 Exhausted	0.273236196539165
DDIT4	CREM	CD8 Exhausted	0.270466270737246
ARAP2	CREM	CD8 Exhausted	0.26321971518626
ZC3H12A	CREM	CD8 Exhausted	0.2626678007781809
DUSP1	CREM	CD8 Exhausted	0.2525475695354833
CDKN1A	CREM	CD8 Exhausted	0.2496963755507681
STAT5A	CREM	CD8 Exhausted	0.1949884412928387
TRAF4	CREM	CD8 Exhausted	0.1941252849882292
JUNB	CREM	CD8 Exhausted	0.1367214434349365
CCNH	CREM	CD8 Exhausted	0.1337440111103514
LCP1	CREM	CD8 Exhausted	0.1282134133300565
TSHZ2	CREM	CD8 Exhausted	0.1084242073772854
SRRT	CREM	CD8 Exhausted	0.0189628419353564
JUNB	FOS	CD8 Exhausted	4.460155205505633
NR4A2	FOS	CD8 Exhausted	3.663309271276229
JUN	FOS	CD8 Exhausted	2.939369194547056
IER2	FOS	CD8 Exhausted	2.437478787841923
PERP	FOS	CD8 Exhausted	2.060765972648352
DUSP1	FOS	CD8 Exhausted	1.8134895535301536
PPP1R15A	FOS	CD8 Exhausted	1.7968943595002964
GADD45B	FOS	CD8 Exhausted	1.5128647888162856
CDKN1A	FOS	CD8 Exhausted	1.476950003647594
FTL	FOS	CD8 Exhausted	1.4478760892936255
HMGA1	FOS	CD8 Exhausted	1.4166944520851776
ZEB2	FOS	CD8 Exhausted	1.3942496196329752
FABP5	FOS	CD8 Exhausted	1.2414505420007664
PEA15	FOS	CD8 Exhausted	1.15933101292482
CHMP1B	FOS	CD8 Exhausted	1.1291376036490388
FOS	FOS	CD8 Exhausted	1.0
ZFP36	FOS	CD8 Exhausted	0.988292570065697
HSP90AA1	FOS	CD8 Exhausted	0.9828261525680824
TUBA4A	FOS	CD8 Exhausted	0.9791925564355172
CD55	FOS	CD8 Exhausted	0.9559899280087092
CD74	FOS	CD8 Exhausted	0.9436270892485092
IRF2BP2	FOS	CD8 Exhausted	0.9136111343141332
AQP3	FOS	CD8 Exhausted	0.9078065272341737
HERPUD1	FOS	CD8 Exhausted	0.8823881121774226
ZC3H12A	FOS	CD8 Exhausted	0.8025574594962412
CSRNP1	FOS	CD8 Exhausted	0.790057004987891
ITM2C	FOS	CD8 Exhausted	0.7555777091745193
VPS37B	FOS	CD8 Exhausted	0.7504942403944747
RAB11FIP1	FOS	CD8 Exhausted	0.7326758205747753
DNAJB1	FOS	CD8 Exhausted	0.7250479467981693
TPM4	FOS	CD8 Exhausted	0.7114106261768662
RGCC	FOS	CD8 Exhausted	0.6475096109254246
LIMS1	FOS	CD8 Exhausted	0.6434700432426292
MAP3K8	FOS	CD8 Exhausted	0.612676193580333
HSPA5	FOS	CD8 Exhausted	0.6072337755654394
LDLRAD4	FOS	CD8 Exhausted	0.5644064870099995
ARAP2	FOS	CD8 Exhausted	0.5633359452428999
KDM6B	FOS	CD8 Exhausted	0.5616931749704682
