TFs	Genes	Occurrence	occurrence_percentage	Weights	condition
BATF	DOK2	3	75.0	0.880999086211701	CD8 Exhausted
BATF	GADD45A	4	100.0	0.8724647988699512	CD8 Exhausted
BATF	NINJ1	3	75.0	0.7708078679658251	CD8 Exhausted
BATF	SRSF7	3	75.0	0.7596306557318763	CD8 Exhausted
BATF	STAT5B	4	100.0	0.7387264890582895	CD8 Exhausted
BATF	NFKB2	4	100.0	0.7376522312502962	CD8 Exhausted
BATF	SMS	3	75.0	0.7221515510116207	CD8 Exhausted
BATF	SLC1A4	3	75.0	0.7138718815832495	CD8 Exhausted
BATF	BCL2L11	4	100.0	0.7034972351807348	CD8 Exhausted
BATF	GPX1	3	75.0	0.664862761384039	CD8 Exhausted
BATF	NAMPT	4	100.0	0.6493022208918884	CD8 Exhausted
BATF	TRAF1	4	100.0	0.6438330394783164	CD8 Exhausted
BATF	XAB2	3	75.0	0.6252374361112882	CD8 Exhausted
BATF	NEAT1	3	75.0	0.5768131713593657	CD8 Exhausted
BATF	IDH2	4	100.0	0.5679170340787466	CD8 Exhausted
BATF	STAT5A	3	75.0	0.5347694258264196	CD8 Exhausted
BATF	MVP	3	75.0	0.5304507264081514	CD8 Exhausted
BATF	SATB1	3	75.0	0.5223959287813607	CD8 Exhausted
BATF	PDE4D	3	75.0	0.5114066846521029	CD8 Exhausted
BATF	FAM46C	3	75.0	0.4878911979887971	CD8 Exhausted
BATF	PSAP	4	100.0	0.4669649286932518	CD8 Exhausted
BATF	ITGAE	4	100.0	0.4640619746375394	CD8 Exhausted
BATF	SAT1	3	75.0	0.4269191937635981	CD8 Exhausted
BATF	HERPUD1	3	75.0	0.4199026280486946	CD8 Exhausted
BATF	IKZF3	3	75.0	0.4038421267166268	CD8 Exhausted
BATF	BTG2	3	75.0	0.3660716940848257	CD8 Exhausted
BATF	MT2A	3	75.0	0.3638912078757357	CD8 Exhausted
BATF	CD63	3	75.0	0.3273544447416083	CD8 Exhausted
BATF	TSC22D3	3	75.0	0.2915150384122195	CD8 Exhausted
BHLHE40	JUN	3	75.0	3.386072047111905	CD8 Exhausted
BHLHE40	TSHZ2	4	100.0	2.135509413668689	CD8 Exhausted
BHLHE40	SYTL3	4	100.0	1.4965204365041571	CD8 Exhausted
BHLHE40	NCDN	3	75.0	1.3217476804277284	CD8 Exhausted
BHLHE40	DUSP1	4	100.0	1.2785256726567926	CD8 Exhausted
BHLHE40	NR3C1	4	100.0	1.2447656919048689	CD8 Exhausted
BHLHE40	MAF	4	100.0	1.1017526812562837	CD8 Exhausted
BHLHE40	GATA3	4	100.0	1.0591134301673364	CD8 Exhausted
BHLHE40	IER2	4	100.0	1.029538086742906	CD8 Exhausted
BHLHE40	KDM6B	3	75.0	0.9777901883775104	CD8 Exhausted
BHLHE40	GMFG	4	100.0	0.9222969230376163	CD8 Exhausted
BHLHE40	DYNLT3	4	100.0	0.8848898851128757	CD8 Exhausted
BHLHE40	ARID5A	3	75.0	0.8554711439875097	CD8 Exhausted
BHLHE40	GK	3	75.0	0.855260506632618	CD8 Exhausted
BHLHE40	CSRNP1	4	100.0	0.8365298973237646	CD8 Exhausted
BHLHE40	ZNF331	4	100.0	0.8212396079800245	CD8 Exhausted
BHLHE40	CSRP1	3	75.0	0.8172892485671616	CD8 Exhausted
BHLHE40	INSIG1	3	75.0	0.7852076764319355	CD8 Exhausted
BHLHE40	FYN	4	100.0	0.750901855684181	CD8 Exhausted
BHLHE40	CDKN1A	3	75.0	0.7266758591669878	CD8 Exhausted
BHLHE40	CMIP	3	75.0	0.6915030924548867	CD8 Exhausted
BHLHE40	FOXP1	4	100.0	0.6513321918374142	CD8 Exhausted
BHLHE40	PPP1R15A	4	100.0	0.6326573277872064	CD8 Exhausted
BHLHE40	ZEB2	4	100.0	0.6111507929671394	CD8 Exhausted
BHLHE40	RTN4	3	75.0	0.6110291834447409	CD8 Exhausted
BHLHE40	JUND	4	100.0	0.575362331344111	CD8 Exhausted
BHLHE40	ELL2	4	100.0	0.5040153598322716	CD8 Exhausted
BHLHE40	NINJ1	4	100.0	0.4953108683088449	CD8 Exhausted
BHLHE40	PIM3	3	75.0	0.4856230275804316	CD8 Exhausted
BHLHE40	MAP1LC3A	4	100.0	0.4720903007022179	CD8 Exhausted
BHLHE40	SLC39A8	4	100.0	0.439292910854158	CD8 Exhausted
BHLHE40	JOSD1	3	75.0	0.4278117019930302	CD8 Exhausted
BHLHE40	BTG1	4	100.0	0.3729745075859907	CD8 Exhausted
BHLHE40	LDLRAD4	3	75.0	0.3304487472849726	CD8 Exhausted
BHLHE40	MAP3K8	4	100.0	0.2822449626730705	CD8 Exhausted
BHLHE40	CREM	4	100.0	0.2774561946232293	CD8 Exhausted
BHLHE40	FOS	4	100.0	0.1987512334753927	CD8 Exhausted
BHLHE40	NFKB2	4	100.0	0.1783685337128031	CD8 Exhausted
BHLHE40	NR4A2	4	100.0	0.146502809161081	CD8 Exhausted
CREM	BTG1	4	100.0	3.468796850077098	CD8 Exhausted
CREM	ATP1B3	4	100.0	2.8882762204088976	CD8 Exhausted
CREM	DUSP4	3	75.0	2.187402096589457	CD8 Exhausted
CREM	ARHGEF7	4	100.0	2.129168841121141	CD8 Exhausted
CREM	LEPROTL1	4	100.0	2.084311943486557	CD8 Exhausted
CREM	VPS37B	4	100.0	2.074092088548232	CD8 Exhausted
CREM	STK17B	4	100.0	1.9801754808122969	CD8 Exhausted
CREM	TGIF1	4	100.0	1.967120224557719	CD8 Exhausted
CREM	NR3C1	4	100.0	1.8929849691557004	CD8 Exhausted
CREM	ZFP36	4	100.0	1.8642335566947643	CD8 Exhausted
CREM	SARAF	4	100.0	1.788986612576282	CD8 Exhausted
CREM	ZFP36L2	4	100.0	1.7658913689920108	CD8 Exhausted
CREM	SRSF7	3	75.0	1.7408241737003924	CD8 Exhausted
CREM	SPOCK2	4	100.0	1.6630034828805125	CD8 Exhausted
CREM	RPS27	3	75.0	1.6521419449471753	CD8 Exhausted
CREM	SRGN	3	75.0	1.639069520363062	CD8 Exhausted
CREM	PIK3R1	3	75.0	1.51630168112004	CD8 Exhausted
CREM	TNFAIP3	4	100.0	1.5113337257444148	CD8 Exhausted
CREM	JUND	4	100.0	1.39211754620474	CD8 Exhausted
CREM	RPS29	4	100.0	1.3748094171666088	CD8 Exhausted
CREM	STAT5B	4	100.0	1.296240245898315	CD8 Exhausted
CREM	IRF2BP2	4	100.0	1.2881262910955766	CD8 Exhausted
CREM	DUSP2	4	100.0	1.2429261491555483	CD8 Exhausted
CREM	GLIPR1	4	100.0	1.2254094543581098	CD8 Exhausted
CREM	LITAF	4	100.0	1.2244871177341885	CD8 Exhausted
CREM	IL10RA	4	100.0	1.2168765513278164	CD8 Exhausted
CREM	CST7	4	100.0	1.2130301955610534	CD8 Exhausted
CREM	SYTL3	4	100.0	1.1812035878549565	CD8 Exhausted
CREM	SMCHD1	4	100.0	1.1794887814220658	CD8 Exhausted
CREM	FAM46C	4	100.0	1.1654615558814445	CD8 Exhausted
CREM	FAM177A1	4	100.0	1.1371541762458093	CD8 Exhausted
CREM	EML4	4	100.0	1.1314660873284457	CD8 Exhausted
CREM	TUBA4A	3	75.0	1.1124644994511237	CD8 Exhausted
CREM	PPP1R16B	4	100.0	1.1012965845812983	CD8 Exhausted
CREM	PABPC1	4	100.0	1.100172844040336	CD8 Exhausted
CREM	SH2D1A	3	75.0	1.0948711964586322	CD8 Exhausted
CREM	PBXIP1	4	100.0	1.037848764593704	CD8 Exhausted
CREM	RNF19A	4	100.0	1.0177833810936572	CD8 Exhausted
CREM	CREM	4	100.0	1.0	CD8 Exhausted
CREM	CDKN1B	4	100.0	0.998500229800823	CD8 Exhausted
CREM	GPCPD1	4	100.0	0.962959933676375	CD8 Exhausted
CREM	BAZ1A	4	100.0	0.9441601647330472	CD8 Exhausted
CREM	ZNF331	4	100.0	0.9301898280637906	CD8 Exhausted
CREM	FOSL2	4	100.0	0.9205504774059676	CD8 Exhausted
CREM	DUSP16	4	100.0	0.9155915219812584	CD8 Exhausted
CREM	SYAP1	4	100.0	0.9090310683438836	CD8 Exhausted
CREM	FYN	4	100.0	0.8962668919784353	CD8 Exhausted
CREM	FOXP1	4	100.0	0.8850523990887138	CD8 Exhausted
CREM	CD44	4	100.0	0.8461569168086956	CD8 Exhausted
CREM	GK	4	100.0	0.7792056551120123	CD8 Exhausted
CREM	CD4	3	75.0	0.7750238052950174	CD8 Exhausted
