Iteration,Time
1,3194.11784791946
2,2885.08884096146
3,2908.80194711685
4,2943.22458600998
5,2858.22654700279
6,2868.50935506821
7,3095.40851593018
8,3907.42000412941
9,4181.108066082
10,4161.42816185951
