Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	1/29	0.0028979225647398	0.0125187468062188	0	0	713.2142857142857	4167.853938534805	TAPBP
GO_Cellular_Component_2018	phagocytic vesicle membrane (GO:0030670)	1/38	0.0037964283548	0.0125187468062188	0	0	539.4864864864865	3006.9328953929125	TAPBP
GO_Cellular_Component_2018	endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	1/47	0.004694530052332	0.0125187468062188	0	0	433.7391304347826	2325.430438800731	TAPBP
GO_Cellular_Component_2018	phagocytic vesicle (GO:0045335)	1/83	0.0082828925244276	0.0151641195271805	0	0	242.8780487804878	1164.2512361347303	TAPBP
GO_Cellular_Component_2018	endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	1/95	0.0094775747044878	0.0151641195271805	0	0	211.74468085106383	986.4817999000168	TAPBP
GO_Cellular_Component_2018	integral component of endoplasmic reticulum membrane (GO:0030176)	1/128	0.0127592404504323	0.0170123206005765	0	0	156.46456692913387	682.4201349142546	TAPBP
GO_Cellular_Component_2018	Golgi membrane (GO:0000139)	1/442	0.0437124537217845	0.0473273420228945	0	0	44.3469387755102	138.8113391281995	TAPBP
GO_Cellular_Component_2018	Golgi subcompartment (GO:0098791)	1/479	0.0473273420228945	0.0473273420228945	0	0	40.83682008368201	124.57954329542387	TAPBP
