Modules,Number of genes,Genes
M1,58,"[""IGHV3-23"", ""IGHM"", ""IGKV4-1"", ""IGLV3-21"", ""IGLV3-25"", ""IGHV3-20"", ""TRBV4-2"", ""IGKV1-27"", ""TRBV24-1"", ""IGHV2-70"", ""IGHD"", ""MKI67"", ""TCL1A"", ""TRAV8-1"", ""CXCL13"", ""IGKV6D-21"", ""TPX2"", ""CCNA2"", ""TRAV39"", ""IGKV1D-17"", ""IGLV4-60"", ""FEN1"", ""SLC38A5"", ""FAM129C"", ""PTP4A3"", ""AIRE"", ""TROAP"", ""KRT86"", ""TRPM4"", ""AL139020.1"", ""CD19"", ""NASP"", ""HIST1H2BH"", ""KRT81"", ""KLRG1"", ""GATA3-AS1"", ""CCNE1"", ""TRGV11"", ""CYP4B1"", ""HIST1H2AC"", ""TMEM114"", ""PDGFRL"", ""AOC1"", ""MSX1"", ""CHI3L2"", ""ENTPD1"", ""AL359834.1"", ""FNDC1"", ""RGMA"", ""NTM"", ""ASNS"", ""CCR3"", ""AP002852.1"", ""AL513128.2"", ""TIFAB"", ""NPIPB6"", ""EFCAB9"", ""CIP2A""]"
M10,30,"[""PPBP"", ""TRAV13-2"", ""PF4"", ""IGKV1OR2-108"", ""LINC01781"", ""HIST1H3B"", ""CD9"", ""MYL9"", ""C12orf75"", ""NCAPG"", ""APOD"", ""NRGN"", ""CLEC1B"", ""CMTM5"", ""MPIG6B"", ""IGSF10"", ""COCH"", ""ITGA2B"", ""TMEM40"", ""PKHD1L1"", ""ESAM"", ""NEK2"", ""UGCG"", ""CNTNAP3B"", ""CLDN5"", ""AC092802.2"", ""PRG2"", ""TCERG1L"", ""C2orf88"", ""XIRP2""]"
M11,90,"[""IGHV5-51"", ""IGLV1-51"", ""IGLV1-40"", ""HSPA6"", ""SPP1"", ""TRAV20"", ""MT1H"", ""HSPA1B"", ""HSPA1A"", ""PLK1"", ""AQP3"", ""FN1"", ""GATA2"", ""TRAV2"", ""DUSP4"", ""HSPD1"", ""MARCO"", ""SPINK1"", ""RGS16"", ""BANK1"", ""ADM"", ""MRC1"", ""CRYAB"", ""COL4A2-AS2"", ""GADD45G"", ""MDK"", ""SGK1"", ""NR4A1"", ""HSPE1"", ""OSM"", ""TXNDC11"", ""CHAC2"", ""ELL2"", ""SAMD7"", ""ABCA1"", ""SSPN"", ""NUPR1"", ""KCNMA1"", ""PPIF"", ""HSP90AA1"", ""CHAF1A"", ""SERPINE1"", ""CACYBP"", ""KLRC3"", ""SHMT2"", ""P2RY6"", ""VEGFA"", ""DUSP2"", ""CD109"", ""MTRNR2L12"", ""CISH"", ""INSIG1"", ""GPR84"", ""MAN1A1"", ""MAFF"", ""DSCC1"", ""UQCC2"", ""DNAJB1"", ""HSPB1"", ""SERPINH1"", ""BAG3"", ""HSPH1"", ""OLR1"", ""CLEC5A"", ""ODC1"", ""NRP2"", ""HS3ST1"", ""ZFAND2A"", ""SLCO2B1"", ""DNAJA4"", ""SDC4"", ""SLC7A11"", ""MMP8"", ""ADRA2B"", ""CD83"", ""HSP90AB1"", ""GADD45B"", ""FKBP4"", ""DDX39A"", ""CPXM1"", ""LINC00309"", ""MRTO4"", ""SLC7A5"", ""IER5"", ""AVPI1"", ""FGF18"", ""HIST1H1T"", ""FOSB"", ""EDEM1"", ""ZNF331""]"
M17,118,"[""IGHV1-2"", ""IGLV1-44"", ""IGHV3-43"", ""TRBV7-2"", ""DERL3"", ""IGKV1-16"", ""IGKV1-8"", ""TRBV7-9"", ""ITM2C"", ""TRAV38-2DV8"", ""CCND2"", ""TRBV19"", ""CXCL9"", ""HIST1H1B"", ""HDC"", ""TRAV17"", ""TRAV16"", ""CD79A"", ""CCNB1"", ""ASS1"", ""IRF4"", ""HSPA5"", ""TRAV4"", ""CYTL1"", ""TRBV7-4"", ""BIK"", ""TRAV35"", ""MYOM2"", ""LMNA"", ""THBS1"", ""PRDX4"", ""RGCC"", ""C1QTNF4"", ""CLSPN"", ""LTF"", ""CRELD2"", ""CHAC1"", ""PROK2"", ""GZMH"", ""SHCBP1"", ""CDKN1A"", ""CKS1B"", ""MMP9"", ""LINC00926"", ""THBD"", ""NCAPH"", ""FBP1"", ""GPR183"", ""ERLEC1"", ""HBEGF"", ""CKAP2L"", ""MAFB"", ""CA8"", ""IFI30"", ""CDC6"", ""KIFC1"", ""PNOC"", ""HIST1H2AL"", ""GPR42"", ""OLFM4"", ""TENT5C"", ""SNCA"", ""PPP1R14B"", ""SEC61A1"", ""ST6GALNAC4"", ""TXN"", ""PTPRS"", ""KIF23"", ""SLC35B1"", ""MYCN"", ""HIST1H2AE"", ""CTNNAL1"", ""KLF5"", ""NPM3"", ""SPIB"", ""BHLHE41"", ""LINC02432"", ""C5AR1"", ""TPD52"", ""SYT1"", ""CXXC5"", ""MYB"", ""ELANE"", ""MACROD2"", ""CD300E"", ""CLEC11A"", ""BUB1B"", ""POLR3G"", ""CENPK"", ""CIB2"", ""OLIG2"", ""AC004816.2"", ""SUCNR1"", ""RPL22L1"", ""PDE4DIP"", ""CYB5D2"", ""GAPLINC"", ""AC011603.2"", ""EEF1G"", ""TOMM40"", ""AC025580.3"", ""HIST1H2AB"", ""ICOS"", ""HIST2H2BF"", ""PFKFB3"", ""BEX1"", ""POLD2"", ""TENT5B"", ""GSPT1"", ""AL590822.2"", ""ID2"", ""ABHD5"", ""SLC17A9"", ""ARHGAP11A"", ""ZNF703"", ""KIF4A"", ""CYCS"", ""MSC""]"
M12,63,"[""C1QA"", ""IGLV3-9"", ""IGLV3-27"", ""IGHV2-26"", ""TRAV23DV6"", ""PTGDS"", ""TRAV29DV5"", ""IGLV3-22"", ""SPIC"", ""IGHV5-78"", ""RRAD"", ""RGS13"", ""ANKRD22"", ""TCL1B"", ""RALGPS2"", ""HIST1H2AH"", ""TKTL1"", ""TIMD4"", ""CAVIN2"", ""BMP8B"", ""MLEC"", ""AURKA"", ""RTKN2"", ""STT3A"", ""SH2D1B"", ""CCDC50"", ""CDK6"", ""HIST1H3F"", ""HIST1H2AJ"", ""MSR1"", ""H1F0"", ""AIM2"", ""MYOF"", ""ALDH1A1"", ""PARP1"", ""RAD51AP1"", ""TP53INP1"", ""PRSS23"", ""BCL2L12"", ""LRR1"", ""TIFA"", ""HBQ1"", ""APOBEC3H"", ""LINC01943"", ""AC021422.1"", ""AC129915.3"", ""ESR1"", ""DUSP5"", ""MEST"", ""SLC1A5"", ""SLC12A8"", ""DRAM1"", ""CCNC"", ""MAP3K7CL"", ""SLC25A39"", ""BAK1"", ""SYT2"", ""AC026369.3"", ""PDK4"", ""SNRPG"", ""HIBCH"", ""P2RY13"", ""TGM2""]"
M13,37,"[""G0S2"", ""IL1RN"", ""PLAUR"", ""S100P"", ""SMIM25"", ""VOPP1"", ""HCAR3"", ""LTB"", ""FCGR3B"", ""CD22"", ""HCAR2"", ""TNFSF15"", ""BASP1"", ""AC023157.3"", ""CXCL16"", ""TNFSF14"", ""LUCAT1"", ""BCL2A1"", ""MIR4435-2HG"", ""TREM1"", ""CMTM2"", ""IGSF6"", ""C3AR1"", ""PI3"", ""SLPI"", ""CSF1"", ""GLUL"", ""CSTB"", ""LGALS3"", ""PLPP3"", ""CREM"", ""SLC43A3"", ""FCGR1B"", ""RAB20"", ""HM13"", ""IL18BP"", ""ETV7""]"
M14,93,"[""TRBV13"", ""IGHV3-49"", ""IGLV7-46"", ""FCER1A"", ""IGHV3-13"", ""IGKV1D-33"", ""TRAV21"", ""IGKV3-7"", ""GNLY"", ""IGHE"", ""POU2AF1"", ""IGHV3OR15-7"", ""IGHV1-14"", ""IGLV10-54"", ""NUSAP1"", ""RRM2"", ""SMIM24"", ""TRAV34"", ""AL133467.1"", ""LRRC26"", ""CXCR3"", ""PRF1"", ""CD8A"", ""GMPPB"", ""TRGV10"", ""IL3RA"", ""CD320"", ""PDLIM1"", ""TRGV4"", ""KIR2DL4"", ""PTCRA"", ""PKIB"", ""RHEX"", ""HMGB3"", ""FCRLA"", ""NDC80"", ""FOLR2"", ""CDO1"", ""PTX3"", ""BLK"", ""LINC01871"", ""TRBC1"", ""H2AFX"", ""AC104699.1"", ""PARM1"", ""HJURP"", ""RRM1"", ""SH2D1A"", ""SNCB"", ""KIF11"", ""HOXB5"", ""SIGLEC6"", ""FCRL3"", ""AFF3"", ""PCDH9"", ""SIT1"", ""A4GALT"", ""PEBP1"", ""ATP1B1"", ""NNMT"", ""MET"", ""ENPP2"", ""TWIST1"", ""MMP12"", ""IGFBP5"", ""FAM178B"", ""CLLU1OS"", ""OLFM1"", ""AC104232.1"", ""AL590235.2"", ""LIF"", ""LZTS1-AS1"", ""LEP"", ""FOXD4L5"", ""BEND6"", ""C6orf222"", ""CRISPLD1"", ""BCAM"", ""NRG1"", ""AC005355.1"", ""HSD3B7"", ""LINC01485"", ""GALM"", ""AC008440.1"", ""LRAT"", ""GALR2"", ""MTHFD1"", ""MATK"", ""PARD6G-AS1"", ""BCAR1"", ""LINC00885"", ""C2CD6"", ""LINC00399""]"
M15,40,"[""IGHV4-31"", ""SEC11C"", ""TUBB"", ""ENHO"", ""XBP1"", ""SOX4"", ""TRAV24"", ""FOLR3"", ""LAMP5"", ""CENPU"", ""IGFBP6"", ""TCF4"", ""NAPSA"", ""TUBA1C"", ""SPCS2"", ""CALU"", ""HIST1H2BC"", ""C1QBP"", ""DCTPP1"", ""UCK2"", ""SGO1"", ""SLC40A1"", ""SLC31A2"", ""UBE2S"", ""HILPDA"", ""TMEM107"", ""LINC02029"", ""AL390718.1"", ""SPOCD1"", ""AC243965.2"", ""SLC12A3"", ""RPN1"", ""PRMT1"", ""DCAF12"", ""IL18"", ""TCF19"", ""ADAM19"", ""AICDA"", ""LILRB5"", ""GSN""]"
M16,46,"[""LYPD2"", ""TRBV5-5"", ""GZMB"", ""LILRA4"", ""FKBP11"", ""IDO1"", ""TOP2A"", ""HLA-DQA2"", ""SMC4"", ""DLGAP5"", ""CRHBP"", ""CDCA8"", ""FCRL5"", ""FCGR2B"", ""KIT"", ""GNG7"", ""CXCL14"", ""B9D1"", ""BAMBI"", ""FAM92B"", ""MIF"", ""RFC4"", ""CCL26"", ""ALYREF"", ""EBNA1BP2"", ""SSRP1"", ""ALG5"", ""UNG"", ""NT5DC2"", ""TMEM208"", ""CYP4F22"", ""TRAM2"", ""RARRES1"", ""AHCY"", ""RFPL4A"", ""GLRX5"", ""CTSD"", ""C1orf54"", ""ACRBP"", ""BATF3"", ""SCG3"", ""TPPP3"", ""LINC01588"", ""TMEM26-AS1"", ""KIF22"", ""TFDP1""]"
M18,35,"[""IGHV4-4"", ""TRBV10-2"", ""CDC20"", ""MYBL2"", ""MT1E"", ""SPACA3"", ""IGKV1-37"", ""IGHV3-62"", ""GTSE1"", ""TRBV23-1"", ""IGLC6"", ""GNG3"", ""IGFBP2"", ""CHAD"", ""MND1"", ""VPREB1"", ""AL365226.2"", ""AZU1"", ""DIAPH3"", ""PBK"", ""AC246787.2"", ""PMCH"", ""TRAV8-5"", ""HHIP"", ""TMEM213"", ""KRTAP9-7"", ""HIST1H2BM"", ""UFL1-AS1"", ""EPO"", ""AC093503.2"", ""LINC02195"", ""ADORA1"", ""SLC16A9"", ""CDC25B"", ""IL21-AS1""]"
