regulator	target	condition	weight
RALGAPA1	ATOX1	differential	1
RALGAPA1	PHF5A	differential	1
RALGAPA1	GCHFR	differential	1
ATP5G1	AHNAK	differential	1
ATP5G1	EIF5A	differential	1
ATP5G1	UBE2V2	differential	1
ATP5G1	BANP	differential	1
EML4	TPM4	differential	1
EML4	ADGRE5	differential	1
EML4	TUBA1A	non-differential	1
EML4	MLLT3	differential	1
EML4	FBXO34	differential	1
EML4	SNX20	non-differential	1
EML4	VOPP1	differential	1
ABLIM1	ASAH1	differential	1
ABLIM1	COTL1	differential	1
ABLIM1	CDK4	differential	1
TAGAP	ANP32E	differential	1
NEAT1	KIAA1191	differential	1
NEAT1	FLNA	differential	1
NEAT1	CENPC	differential	1
NEAT1	RPA1	non-differential	1
NEAT1	SNX20	non-differential	1
NEAT1	ERLEC1	non-differential	1
NEAT1	PSMB7	differential	1
LDLRAD4	NHP2	differential	1
LDLRAD4	IFRD1	non-differential	1
LDLRAD4	UBE2V2	differential	1
LDLRAD4	ARL4C	differential	1
LDLRAD4	TARS	differential	1
HTATIP2	ANKRD17	non-differential	1
HTATIP2	CNTRL	non-differential	1
HTATIP2	EPS15	non-differential	1
ATP1A1	FAM50A	differential	1
ATP1A1	MAPRE2	differential	1
ATP1A1	FBXW2	differential	1
ATP1A1	BST2	differential	1
PMAIP1	PPP1R16B	differential	1
PMAIP1	OFD1	differential	1
PMAIP1	MLLT3	differential	1
PMAIP1	EFR3A	differential	1
PMAIP1	ATP2B1	non-differential	1
PMAIP1	TOMM40	non-differential	1
PPA1	FOXP1	differential	1
PPA1	NUDT5	differential	1
PPA1	GARS	differential	1
PPA1	PEX16	differential	1
PPA1	TPGS2	differential	1
CDC25B	NAMPT	differential	1
CDC25B	CD37	differential	1
CDC25B	TMX3	differential	1
CDC25B	CARHSP1	non-differential	1
CDC25B	GTPBP4	non-differential	1
CDC25B	C18ORF8	differential	1
CDC25B	WSB1	differential	1
PRKX	PLK3	differential	1
PRKX	BANP	differential	1
PRKX	BBX	differential	1
PRKX	KAT6A	differential	1
PDCD1	HLA-F	differential	1
RBM3	NUTF2	differential	1
SYTL2	CSRP1	non-differential	1
SYTL2	ITGB2	differential	1
SYTL2	OSTF1	differential	1
SYTL2	PRKDC	differential	1
JAML	DNAJC1	differential	1
JAML	HSPE1	differential	1
JAML	UBE2G2	non-differential	1
JAML	GCC2	differential	1
JAML	ARRDC1	differential	1
TNFRSF1B	UGP2	differential	1
TNFRSF1B	SURF4	differential	1
PRELID1	TESC	non-differential	1
PRELID1	LSM5	differential	1
PRELID1	ARHGEF1	differential	1
PRELID1	FAM136A	differential	1
PRELID1	ZMYM5	non-differential	1
PTGER4	BIRC2	differential	1
PTGER4	CENPC	differential	1
PTGER4	RTF1	differential	1
SOCS1	BTG2	non-differential	1
SOCS1	DBF4	differential	1
SOCS1	SACM1L	differential	1
SOCS1	ANKRD49	differential	1
SOCS1	VOPP1	differential	1
SOCS1	PHF1	differential	1
SOCS1	SUZ12	non-differential	1
SOCS1	TNIP1	differential	1
POR	SLC16A3	differential	1
POR	RANBP2	differential	1
POR	CEBPG	differential	1
POR	SAMD9	differential	1
POR	DBF4	differential	1
POR	RPA3	differential	1
TXNRD1	PHTF2	differential	1
TXNRD1	DCXR	differential	1
TXNRD1	ECH1	differential	1
TXNRD1	ZDHHC12	differential	1
TXNRD1	HEXIM1	differential	1
GMFG	SLFN5	differential	1
GMFG	CORO1A	differential	1
GMFG	RUNX3	differential	1
GMFG	RPA3	differential	1
GMFG	RPA1	non-differential	1
MAGED2	PRNP	differential	1
MAGED2	HERPUD2	differential	1
MAGED2	GNA13	non-differential	1
SLC16A3	GAK	differential	1
SLC16A3	THAP7	non-differential	1
AHI1	TNFSF10	differential	1
AHI1	DDX3Y	differential	1
AHI1	LUZP1	non-differential	1
AHI1	ZCCHC11	non-differential	1
S1PR1	PTPRJ	differential	1
S1PR1	NME2	differential	1
VPS37B	CTSB	differential	1
VPS37B	MOB3A	differential	1
VPS37B	TM9SF1	differential	1
HLA-E	GAPDH	differential	1
HLA-E	HNRNPAB	differential	1
HLA-E	IL4R	differential	1
HLA-E	ARHGEF7	differential	1
HLA-E	ITGAE	non-differential	1
HLA-E	OFD1	differential	1
HLA-E	CYFIP2	differential	1
HLA-E	POP7	differential	1
HLA-E	DBF4	differential	1
HLA-E	RPA3	differential	1
ITM2A	NAGK	differential	1
ITM2A	ZFP36L1	differential	1
ITM2A	SEC14L1	differential	1
ITM2A	RPP21	differential	1
ITM2A	PJA2	differential	1
TSHZ2	WDR48	differential	1
TSHZ2	NUFIP2	non-differential	1
TSHZ2	EFCAB14	differential	1
ANP32E	MOB4	differential	1
ANP32E	SUPT16H	differential	1
SNRPN	ANKRD10	differential	1
SNRPN	LMBRD1	differential	1
SNRPN	NUCKS1	differential	1
SNRPN	C10ORF54	differential	1
SNRPN	B2M	differential	1
SNRPN	EPB41	non-differential	1
LYST	SDF2L1	differential	1
LYST	LMNB1	non-differential	1
LYST	BAZ1A	differential	1
LYST	SNX9	differential	1
LYST	ATOX1	differential	1
LAPTM4A	FAM46C	differential	1
LAPTM4A	FAM60A	differential	1
LAPTM4A	RNF213	differential	1
LAPTM4A	RCE1	differential	1
LAPTM4A	ATP2A3	differential	1
CMC1	RAP2B	non-differential	1
CMC1	HECTD1	non-differential	1
SDF2L1	GPR65	differential	1
APMAP	SMC4	non-differential	1
APMAP	BAX	differential	1
APMAP	EVI2A	differential	1
APMAP	STX4	differential	1
APMAP	KXD1	differential	1
NFKBIZ	IL10RA	differential	1
NFKBIZ	GYG1	differential	1
PARP8	GPR171	differential	1
PARP8	ATF4	differential	1
SLC7A5	PELI1	non-differential	1
SLC7A5	PDCD5	differential	1
SLC7A5	NABP1	non-differential	1
SLC7A5	KXD1	differential	1
SLC7A5	ATP2A3	differential	1
CCND3	SLC9A3R1	differential	1
CCND3	RAP2B	non-differential	1
CCND3	ANKRD17	non-differential	1
CCND3	MOB3A	differential	1
GLIPR1	BAX	differential	1
P2RY10	SPTBN1	differential	1
P2RY10	MRPL11	differential	1
P2RY10	TGFBR2	differential	1
P2RY10	PYHIN1	differential	1
P2RY10	RNASET2	differential	1
PTPRCAP	LIMA1	differential	1
PTPRCAP	C17ORF89	differential	1
PTPRCAP	FAM129A	differential	1
SMCHD1	SNRPA	differential	1
SMCHD1	AHSA1	differential	1
SMCHD1	ZMYM5	non-differential	1
SMCHD1	WDR18	differential	1
AK6	CHMP1B	differential	1
AK6	PLIN2	non-differential	1
AK6	DHRS7	differential	1
AK6	CHCHD7	differential	1
SPTBN1	PLEKHA2	differential	1
SPTBN1	RPS17	differential	1
TPM4	DYNLT3	differential	1
TPM4	GRAMD1A	differential	1
TPM4	YPEL3	non-differential	1
TPM4	SECISBP2L	differential	1
CHST12	CORO1A	differential	1
CHST12	CYP20A1	differential	1
CHST12	PSMB5	differential	1
CHST12	INPP5D	differential	1
GALM	CD44	differential	1
GALM	ARMCX3	differential	1
GALM	THAP7	non-differential	1
PPP1R16B	IFNGR1	differential	1
PPP1R16B	PCF11	non-differential	1
PSAP	ARHGEF1	differential	1
PSAP	PRKCH	differential	1
PSAP	CD82	non-differential	1
PSAP	ARMCX3	differential	1
PSAP	ADAM10	non-differential	1
SPTAN1	TGFBR2	differential	1
SPTAN1	PLK3	differential	1
SPTAN1	RPA3	differential	1
SPTAN1	RPA1	non-differential	1
STAT3	SQSTM1	differential	1
STAT3	SRSF3	differential	1
STAT3	SKAP1	differential	1
STAT3	ATP6V1B2	differential	1
STAT3	UBE2G2	non-differential	1
STAT3	CLK1	differential	1
STAT3	ARL6IP1	differential	1
IL10RA	GIMAP4	differential	1
IL10RA	LIMS1	differential	1
IL10RA	ELL2	non-differential	1
IL10RA	GNA13	non-differential	1
IL10RA	CKAP2	non-differential	1
IL10RA	KAT6A	differential	1
IL10RA	ANKH	differential	1
CBLB	BAZ1A	differential	1
CBLB	GAPDH	differential	1
CBLB	LAT	non-differential	1
LAMP1	TSC22D3	differential	1
LAMP1	ABCF2	differential	1
LAMP1	MAP2K3	non-differential	1
LAMP1	EIF3L	differential	1
CD55	USP1	differential	1
CD55	C6ORF48	differential	1
CD55	IRF2	differential	1
CD55	THUMPD1	differential	1
SH2D1A	CD6	differential	1
SH2D1A	EPB41	non-differential	1
SH2D1A	FAM134C	differential	1
CHMP1B	ANKRD10	differential	1
CHMP1B	NFATC2	differential	1
CHMP1B	PPP1R18	differential	1
CHMP1B	FOXN3	non-differential	1
CHMP1B	RAB4A	differential	1
RANBP1	NHP2	differential	1
RANBP1	PIK3IP1	differential	1
RANBP1	STOML2	differential	1
RANBP1	BET1L	differential	1
RANBP1	FBXO21	differential	1
DUSP16	PCED1B	differential	1
DUSP16	KIAA0319L	differential	1
DUSP16	GARS	differential	1
DUSP16	ALDH9A1	differential	1
GIMAP4	CD53	differential	1
GIMAP4	CYTIP	differential	1
GIMAP4	ADD3	non-differential	1
GIMAP4	ARMCX3	differential	1
TRAF1	GAPDH	differential	1
TRAF1	SKIL	differential	1
TRAF1	BET1L	differential	1
TRAF1	NDUFA3	differential	1
TRAF1	PNMA1	differential	1
TRAF1	NUMA1	differential	1
TRAF1	CTSD	differential	1
ARID5A	PDCD4	differential	1
ARID5A	B4GALT1	differential	1
ARID5A	TMSB4X	differential	1
ARID5A	ATP2B1	non-differential	1
ARID5A	PPP6R3	differential	1
CSRNP1	BCL2L11	differential	1
CSRNP1	SKIL	differential	1
CSRNP1	RORA	differential	1
CSRNP1	MZT2B	differential	1
CSRNP1	NME2	differential	1
GPX1	POGLUT1	differential	1
GPX1	IKZF3	non-differential	1
GPX1	HOXB2	differential	1
FOXP1	TOMM40	non-differential	1
FOXP1	ADD3	non-differential	1
NAMPT	ITGB1BP1	differential	1
GPR171	PPT1	differential	1
GPR171	S1PR4	differential	1
GPR171	SNRK	differential	1
GPR171	CHCHD7	differential	1
GPR171	TNIP1	differential	1
GPR171	GCHFR	differential	1
MRPL11	SLC1A4	non-differential	1
MRPL11	DOK2	non-differential	1
MRPL11	SNRNP200	differential	1
MRPL11	UQCC2	differential	1
MRPL11	CEBPZ	differential	1
MRPL11	CALCOCO2	differential	1
PKM	LEPROTL1	differential	1
PKM	ANP32B	differential	1
PKM	ANXA5	non-differential	1
PKM	HSPD1	non-differential	1
PKM	ENO1	differential	1
RALA	CHCHD1	differential	1
ASMTL	CD247	differential	1
ASMTL	POLG	differential	1
ASMTL	CD3G	differential	1
ASMTL	ANKH	differential	1
UBA1	RHBDF2	differential	1
UBA1	TSC22D3	differential	1
UBA1	RAB11FIP1	differential	1
UBA1	TIMM13	differential	1
UBA1	TAF7	differential	1
UBA1	SET	differential	1
UBA1	LYAR	non-differential	1
UBA1	STK38	differential	1
UBA1	ARRDC1	differential	1
UBA1	NUB1	differential	1
RHBDF2	ST3GAL1	non-differential	1
RHBDF2	RRN3	differential	1
LEPROTL1	POLR3E	differential	1
LEPROTL1	BAX	differential	1
LEPROTL1	FBXW2	differential	1
LEPROTL1	WDR18	differential	1
CHCHD10	MVP	differential	1
CHCHD10	LSM4	differential	1
CHCHD10	CD37	differential	1
CHCHD10	IRF2	differential	1
DCP1B	BTN3A2	differential	1
DCP1B	TC2N	differential	1
DCP1B	ENO1	differential	1
C1QBP	LDHA	differential	1
C1QBP	CACYBP	differential	1
GTF3A	CD44	differential	1
GTF3A	PMVK	differential	1
GTF3A	C17ORF89	differential	1
GTF3A	CD46	differential	1
GTF3A	RPL26	differential	1
CD6	SUN2	differential	1
CD6	PDE4D	differential	1
CD6	STAM	differential	1
GYG1	FAM136A	differential	1
SARAF	BIRC2	differential	1
SARAF	MRPL4	differential	1
SARAF	SP140	differential	1
SARAF	PHF5A	differential	1
SNRPD1	TC2N	differential	1
SNRPD1	EIF5A	differential	1
SNRPD1	ERP44	differential	1
SQSTM1	KIAA0319L	differential	1
SQSTM1	RNF145	differential	1
SQSTM1	MRPL18	differential	1
ADGRE5	CAMK4	differential	1
ADGRE5	SIRT2	differential	1
ADGRE5	YPEL3	non-differential	1
ADGRE5	TRIAP1	differential	1
FAM118A	XAB2	differential	1
FAM118A	PTRHD1	differential	1
FAM118A	ZEB1	differential	1
FAM118A	WSB1	differential	1
PBXIP1	KDM6B	differential	1
PBXIP1	GARS	differential	1
PBXIP1	AHSA1	differential	1
PBXIP1	YIPF4	differential	1
SUN2	IFT20	differential	1
SUN2	CTSD	differential	1
LIMS1	DYNLT3	differential	1
LIMS1	PDE4D	differential	1
LIMS1	RRN3	differential	1
LIMS1	ARL6IP1	differential	1
LIMS1	ATP6V1E1	differential	1
TNFSF10	STAT5B	differential	1
TNFSF10	B4GALT1	differential	1
TNFSF10	EFR3A	differential	1
TNFSF10	BPTF	differential	1
ANKRD10	DNAJB9	non-differential	1
ANKRD10	GBP2	differential	1
ANKRD10	NMRK1	differential	1
ANKRD10	RDH11	differential	1
ANKRD10	SNF8	differential	1
ANKRD10	ATP2A3	differential	1
JUND	PRDX3	differential	1
JUND	GARS	differential	1
JUND	MOB4	differential	1
JUND	FBXO21	differential	1
JUND	YPEL3	non-differential	1
JUND	PTPN22	differential	1
JUND	ANKRD49	differential	1
JUND	WDR18	differential	1
PTP4A1	YWHAH	differential	1
PTP4A1	PDCD4	differential	1
PTP4A1	PRKCQ	differential	1
TSC22D3	SLC9A3R1	differential	1
TSC22D3	RAP2B	non-differential	1
AUTS2	NUP58	differential	1
AUTS2	TRIAP1	differential	1
AUTS2	RPA1	non-differential	1
AUTS2	SLBP	non-differential	1
AUTS2	EPB41	non-differential	1
CTSB	PMVK	differential	1
CTSB	HOXB2	differential	1
CTSB	RAP2B	non-differential	1
CTSB	SNX20	non-differential	1
GATA3	TMX3	differential	1
GATA3	SET	differential	1
GATA3	RASA2	differential	1
GATA3	CD28	non-differential	1
MATR3.1	BAZ1A	differential	1
MATR3.1	DYNLT3	differential	1
MATR3.1	CCPG1	differential	1
MATR3.1	EVI2A	differential	1
MATR3.1	NDUFA3	differential	1
MATR3.1	SNRPF	differential	1
YWHAH	SRSF3	differential	1
YWHAH	ARAP2	differential	1
YWHAH	RNF125	differential	1
YWHAH	POLD4	non-differential	1
BCL2L11	PTMS	non-differential	1
BCL2L11	ST3GAL1	non-differential	1
BCL2L11	SNRK	differential	1
BCL2L11	SNRPE	differential	1
BCL2L11	TTC39C	non-differential	1
BCL2L11	CCDC107	non-differential	1
KDM6B	RPL22L1	differential	1
EMP3	FAM129A	differential	1
EMP3	THOC7	differential	1
EMP3	CNN2	differential	1
EMP3	STX12	non-differential	1
ADAM8	HSD17B11	differential	1
ADAM8	NABP1	non-differential	1
ADAM8	ARFGAP3	differential	1
ADAM8	ANXA5	non-differential	1
BAZ1A	PLIN2	non-differential	1
BAZ1A	KPNA2	differential	1
BAZ1A	FAM102A	differential	1
BAZ1A	AHR	non-differential	1
BAZ1A	SSRP1	differential	1
BAZ1A	RBM5	differential	1
BAZ1A	GNA13	non-differential	1
BAZ1A	RNF213	differential	1
BAZ1A	RNF125	differential	1
BAZ1A	JARID2	differential	1
BAZ1A	PJA2	differential	1
BAZ1A	CCNT1	differential	1
DYNLT3	PYHIN1	differential	1
DYNLT3	RARA	non-differential	1
DYNLT3	RASA2	differential	1
DYNLT3	BCAS2	non-differential	1
POLR3E	RFTN1	differential	1
POLR3E	CCS	differential	1
DNAJC9	UPP1	differential	1
DNAJC9	RASGRP1	differential	1
DNAJC9	ELL2	non-differential	1
DNAJC9	SUPT16H	differential	1
DNAJC9	OS9	differential	1
DNAJC9	SNX20	non-differential	1
DNAJC9	PREP	non-differential	1
TXNIP	ZEB2	differential	1
SDCBP	SEPHS2	differential	1
MTHFD2	MAP3K8	differential	1
MTHFD2	RABAC1	differential	1
MTHFD2	C10ORF54	differential	1
MTHFD2	UXS1	differential	1
MTHFD2	SIRT2	differential	1
MTHFD2	PAG1	non-differential	1
MTHFD2	GSTK1	differential	1
MTHFD2	TNIP1	differential	1
ZC3H12A	RHBDD2	differential	1
ZC3H12A	BNIP3L	differential	1
ZC3H12A	PGK1	differential	1
ZC3H12A	SYNE2	differential	1
ZC3H12A	SDHA	differential	1
CDKN1B	TIMM13	differential	1
CDKN1B	CCDC64	differential	1
CDKN1B	IL27RA	differential	1
SNX9	EVL	non-differential	1
SNX9	HAT1	differential	1
HMGB1	FAM102A	differential	1
TNFAIP8	NAA38	differential	1
TNFAIP8	DHRS7	differential	1
TNFAIP8	PDCL3	differential	1
TNFAIP8	LPCAT3	differential	1
SMS	ZC3H12D	differential	1
SMS	CD151	non-differential	1
SMS	NOP58	differential	1
SMS	RDH11	differential	1
SMS	TMEM70	differential	1
SMS	PHF5A	differential	1
RAB11FIP1	CNOT6L	differential	1
RAB11FIP1	PARP14	non-differential	1
RAB11FIP1	LDHA	differential	1
SPOCK2	CD48	non-differential	1
SPOCK2	PSTPIP1	differential	1
SPOCK2	JARID2	differential	1
SPOCK2	ZCCHC11	non-differential	1
SPOCK2	SLAMF1	non-differential	1
LINC00152	CYTIP	differential	1
IRF7	MAP1LC3A	differential	1
IRF7	PIM1	non-differential	1
IRF7	SLBP	non-differential	1
IRF7	TNIP1	differential	1
SRSF3	EIF4A1	differential	1
SRSF3	HCFC1R1	differential	1
SRSF3	SP140	differential	1
SRSF3	YIPF4	differential	1
SRSF3	RANGAP1	differential	1
PDE4D	USP1	differential	1
PDE4D	AP2B1	differential	1
PDE4D	B4GALT1	differential	1
PDE4D	SNX20	non-differential	1
MAP3K8	CDK4	differential	1
MAP3K8	ZC3HAV1	non-differential	1
MAP3K8	PJA2	differential	1
PCED1B	GINM1	differential	1
PCED1B	ZMPSTE24	differential	1
PCED1B	SDHA	differential	1
PCED1B	MARCH7	differential	1
USP1	PLEKHA2	differential	1
USP1	FBXW2	differential	1
MALT1	PPP6R3	differential	1
NFKB2	SLC9A3R1	differential	1
NFKB2	PABPC1	differential	1
NFKB2	IL27RA	differential	1
NFKB2	LAT	non-differential	1
NFKB2	SACM1L	differential	1
NFKB2	RPA3	differential	1
NFKB2	NUDT4	differential	1
CRIP1	EPB41	non-differential	1
PDCD5	TBC1D10C	non-differential	1
UPP1	NUDT5	differential	1
UPP1	ARHGEF7	differential	1
UPP1	PPP6R3	differential	1
UPP1	BST2	differential	1
COX5A	C11ORF31	differential	1
COX5A	TTC3	differential	1
COX5A	TMEM39A	differential	1
RFTN1	CHD2	differential	1
MVP	B4GALT1	differential	1
MVP	PHF5A	differential	1
MVP	ARMCX3	differential	1
GAPDH	IL4R	differential	1
GAPDH	BANF1	differential	1
GAPDH	H2AFY	differential	1
GAPDH	UBE2V2	differential	1
GAPDH	MAP1LC3B2	differential	1
GAPDH	NUP58	differential	1
GAPDH	TNKS2	differential	1
GAPDH	RAB4A	differential	1
CTSS	ANP32B	differential	1
CTSS	ARL8B	differential	1
CTSS	EMB	differential	1
FAM46C	NDRG1	differential	1
FAM46C	DNAJB9	non-differential	1
FAM46C	ALDH9A1	differential	1
FAM46C	OS9	differential	1
AHNAK	STOML2	differential	1
AHNAK	IFRD1	non-differential	1
AHNAK	RBBP6	non-differential	1
TGIF1	LSM7	differential	1
TGIF1	ZDHHC12	differential	1
TGIF1	BAZ1B	differential	1
RASGRP1	ACOT9	differential	1
LSM4	LSM2	differential	1
LSM4	GSTK1	differential	1
MAP1LC3A	SLC1A4	non-differential	1
MAP1LC3A	DSTN	differential	1
MAP1LC3A	IL12RB1	non-differential	1
MAP1LC3A	NOP58	differential	1
MAP1LC3A	RPA3	differential	1
NDRG1	ARID5B	differential	1
NDRG1	KLF6	differential	1
NDRG1	IL6ST	non-differential	1
NDRG1	GON4L	differential	1
NDRG1	C18ORF32	differential	1
LMBRD1	NFAT5	non-differential	1
LMBRD1	IFRD1	non-differential	1
LMBRD1	CDC37L1	differential	1
LMBRD1	CRTAP	differential	1
LMBRD1	DENND2D	non-differential	1
LMBRD1	BAZ1B	differential	1
NHP2	IRF1	differential	1
NHP2	MORC3	differential	1
CD53	FAM65B	differential	1
CD53	CNIH1	differential	1
CD53	BAZ1B	differential	1
HNRNPAB	IVNS1ABP	differential	1
HNRNPAB	MRPL18	differential	1
HNRNPAB	IRF1	differential	1
HNRNPAB	C11ORF73	differential	1
ASAH1	CYTH2	differential	1
GRAMD1A	IL21R	differential	1
GRAMD1A	OAT	differential	1
GRAMD1A	RASAL3	differential	1
GRAMD1A	MTMR6	differential	1
GRAMD1A	GDE1	differential	1
GRAMD1A	ARL4C	differential	1
GRAMD1A	SAR1A	differential	1
IL21R	HSD17B11	differential	1
IL21R	GBP2	differential	1
IL21R	GNL3	non-differential	1
CD4	JOSD1	differential	1
SLC39A8	HSD17B11	differential	1
SLC39A8	CTNNB1	differential	1
OAT	CMTM7	differential	1
OAT	GBP2	differential	1
OAT	PIM1	non-differential	1
OAT	ANKRD17	non-differential	1
NUCKS1	IGFLR1	differential	1
FAM107B	TUBA1A	non-differential	1
FAM107B	PRKCQ	differential	1
FAM107B	IL6ST	non-differential	1
FAM107B	TRBC2	differential	1
FAM107B	RNF125	differential	1
FAM107B	DNAJC3	non-differential	1
FAM107B	CCS	differential	1
COTL1	GIMAP7	non-differential	1
COTL1	FLNA	differential	1
COTL1	STARD3	differential	1
COTL1	PDIA4	non-differential	1
COTL1	ARPC1B	differential	1
CDC42EP3	TUBB4B	differential	1
CDC42EP3	ARFGAP3	differential	1
CDC42EP3	ARL8B	differential	1
CDC42EP3	THUMPD1	differential	1
CDC42EP3	ANKH	differential	1
PRDX3	LDHA	differential	1
PRDX3	ATP6V1B2	differential	1
PRDX3	RBPJ	non-differential	1
PRDX3	INPP5D	differential	1
PRDX3	EIF3L	differential	1
PRDX3	FBXW11	differential	1
ABRACL	ASXL2	differential	1
ABRACL	ZEB1	differential	1
ABRACL	NELFA	differential	1
ABRACL	CNN2	differential	1
ABRACL	STK38	differential	1
CDK16	CHD2	differential	1
CDK16	RANBP2	differential	1
CDK16	HSPE1	differential	1
CDK16	SURF4	differential	1
CDK16	TNKS2	differential	1
CD44	RUNX3	differential	1
CD44	THOC3	differential	1
CD44	SNRPF	differential	1
IDH2	GNL3	non-differential	1
IDH2	CAMK4	differential	1
IDH2	AP1G2	differential	1
PIM3	CTSA	differential	1
PIM3	CENPC	differential	1
PIM3	TSPO	differential	1
PIM3	ZCCHC11	non-differential	1
PIM3	NUDT4	differential	1
LIMA1	C6ORF48	differential	1
IL4R	DNAJC1	differential	1
IL4R	RPL13A	differential	1
IL4R	MAP2K3	non-differential	1
IL4R	ADAM10	non-differential	1
KIAA0319L	PRKCH	differential	1
KIAA0319L	JARID2	differential	1
KIAA0319L	FAM134C	differential	1
CLEC2D	PGK1	differential	1
CLEC2D	STAT1	non-differential	1
CLEC2D	STARD3	differential	1
CLEC2D	HEXIM1	differential	1
RPL4	JOSD1	differential	1
RPL4	TYMP	non-differential	1
RPL4	RPSA	differential	1
RPL4	DBF4	differential	1
RPL4	ZFAND5	differential	1
RPL4	KXD1	differential	1
RPL4	ENO1	differential	1
RPL4	GTPBP4	non-differential	1
RPL4	ANKRD49	differential	1
RPL4	SLC3A2	differential	1
XAB2	NABP1	non-differential	1
XAB2	AGPAT2	differential	1
XAB2	GART	non-differential	1
TIMM13	ZC3H12D	differential	1
TIMM13	GTF3C1	differential	1
TIMM13	PAG1	non-differential	1
STAM	LSM3	differential	1
NAA38	SLA	differential	1
NAA38	GARS	differential	1
NAA38	PDHB	differential	1
NAA38	CKAP2	non-differential	1
NAA38	PJA2	differential	1
CMTM7	LAT	non-differential	1
CMTM7	LRBA	non-differential	1
CMTM7	BAZ1B	differential	1
CCNDBP1	NUDT5	differential	1
CCNDBP1	SAMD9	differential	1
CCNDBP1	EFR3A	differential	1
CCNDBP1	COMT	differential	1
CCNDBP1	NUTF2	differential	1
CCNDBP1	EFHD2	differential	1
CCNDBP1	MORC3	differential	1
ACOT9	ANP32B	differential	1
ACOT9	YWHAG	differential	1
ACOT9	NFE2L2	differential	1
CHST7	CHMP4B	differential	1
PTRHD1	B4GALT1	differential	1
PTRHD1	ADAM10	non-differential	1
USP11	STAT5B	differential	1
USP11	TRAPPC4	differential	1
USP11	CHMP4B	differential	1
USP11	TMEM39A	differential	1
RTN4	IFNGR1	differential	1
RTN4	NFAT5	non-differential	1
RTN4	CUTA	differential	1
RTN4	APOL6	non-differential	1
BIRC2	TNIP1	differential	1
YIPF5	NFU1	differential	1
BTN3A2	CCPG1	differential	1
BTN3A2	DNPH1	differential	1
BTN3A2	RPL36A	differential	1
BTN3A2	ANAPC11	differential	1
SEC11C	CUTA	differential	1
SRRT	GARS	differential	1
SRRT	PTPRJ	differential	1
SRRT	TPP1	differential	1
CDK4	YWHAG	differential	1
CDK4	C18ORF8	differential	1
CDK4	BRIX1	non-differential	1
ANXA2	IL6ST	non-differential	1
FAM65B	UXS1	differential	1
FAM65B	ANKH	differential	1
FAM65B	CHORDC1	differential	1
POGLUT1	EEF1G	differential	1
POGLUT1	ERLEC1	non-differential	1
SHMT2	PSTPIP1	differential	1
SHMT2	CNIH1	differential	1
SHMT2	PARP1	differential	1
CALM3	STAT5B	differential	1
CALM3	AP2B1	differential	1
CALM3	APOBEC3C	non-differential	1
CALM3	NUP58	differential	1
CALM3	ARPC1B	differential	1
CALM3	SYNE1	non-differential	1
CALM3	GART	non-differential	1
PITPNC1	CRTAP	differential	1
PITPNC1	STOM	differential	1
PMVK	BCAS2	non-differential	1
RABAC1	SPAG9	non-differential	1
FAM50A	ARAP2	differential	1
FAM50A	SNRNP200	differential	1
FAM50A	TMSB4X	differential	1
FAM50A	PRKCH	differential	1
CBX3	LSM7	differential	1
CBX3	SMC3	non-differential	1
CBX3	PJA2	differential	1
DNMT1	RPL36A	differential	1
DNMT1	MZT2A	differential	1
DNMT1	CNN2	differential	1
DNMT1	ARPC1B	differential	1
TOM1	CITED2	differential	1
EIF4A1	NMRK1	differential	1
EIF4A1	CDK11B	differential	1
EIF4A1	ATP2B1	non-differential	1
EIF4A1	SP140	differential	1
EIF4A1	THAP7	non-differential	1
DNAJC1	TOR3A	differential	1
DNAJC1	GCC2	differential	1
SLC9A3R1	PDCD4	differential	1
ALOX5AP	GPR65	differential	1
KIF22	SURF4	differential	1
NFKB1	STK17B	differential	1
NFKB1	MORC3	differential	1
PABPC1	PTPN4	differential	1
PABPC1	CNOT6L	differential	1
PABPC1	SP140	differential	1
RHBDD2	CCSER2	differential	1
RHBDD2	SURF4	differential	1
RHBDD2	BAZ1B	differential	1
CD37	BRIX1	non-differential	1
ATF4	PSMB5	differential	1
ATF4	NELFA	differential	1
ATF4	WDR46	differential	1
ATF4	FAM136A	differential	1
NUDT5	RPL13A	differential	1
TGFBR2	JARID2	differential	1
ARHGEF7	SKP1	differential	1
ARHGEF7	PDHB	differential	1
ARHGEF7	PSTPIP1	differential	1
YBX1	LSM2	differential	1
YBX1	RPL22L1	differential	1
YBX1	ATP5G3	differential	1
YBX1	SNRK	differential	1
YBX1	PDCL3	differential	1
YBX1	SNRPE	differential	1
CHD2	MGST3	differential	1
CHD2	YWHAG	differential	1
ZEB2	GPX4	differential	1
LSM2	TUBA1A	non-differential	1
LSM2	SKAP1	differential	1
IRF2BP2	SEC14L1	differential	1
IRF2BP2	MRPL27	differential	1
ANP32B	AP2B1	differential	1
STAT5B	TMEM70	differential	1
STAT5B	GNB5	differential	1
IGFLR1	C17ORF89	differential	1
IGFLR1	LSM7	differential	1
IGFLR1	EVI2A	differential	1
IGFLR1	PRKDC	differential	1
IGFLR1	RTF1	differential	1
HSD17B11	TMX3	differential	1
HSD17B11	EBNA1BP2	differential	1
SEMA4D	BPTF	differential	1
CTSA	SETX	differential	1
PPT1	PIM1	non-differential	1
KPNA2	GCLM	non-differential	1
KPNA2	ATP6V1B2	differential	1
