TF,target,importance
STAT5A,BHLHE40,6.239193647720965
DNMT1,DNAJC9,5.775119056538822
GTF3A,RPLP0,5.414333578830416
HMGB1,H2AFZ,5.337113119282
MAF,CTLA4,5.285059740447475
HMGB1,CBX3,5.282776917775735
DNMT1,TUBA1B,5.219764660813387
HSPA5,DNAJB9,5.1777331929255315
ANXA1,IL7R,5.170594649365533
REL,SERPINB9,5.13496748284281
DNMT1,TUBB,5.117925362097834
DNMT1,OFD1,5.0756981842246915
H2AFZ,HMGB1,5.003686306873878
CHD2,EML4,4.979348885332472
JUNB,IER2,4.862760917804727
STAT5B,TNFSF10,4.644474234171433
YBX1,TMSB10,4.591666674024125
HMGA1,GBP5,4.49232215020355
DNMT1,DUT,4.487540250869382
GTF3A,PRELID1,4.452461400594251
REL,HLA-DRA,4.4385537557828645
DNMT1,HLA-C,4.352579909924559
DNMT1,HLA-A,4.325928737157669
ANXA1,UCP2,4.289205756929738
BATF,CXCR6,4.264432690590377
CHD2,TNFAIP3,4.257183177826803
REL,NFKBIA,4.224582262821601
DNMT1,TMPO,4.206308598413145
GTF3A,C17ORF89,4.142503760016244
KIF22,HMGB2,4.142156689303065
JUNB,ZFP36,4.13618470025401
EZR,FOSL2,4.13249890097717
HMGB2,CDC25B,4.128696098689879
CHD2,ITM2A,4.089950735685422
GTF3A,FAM107B,4.0825462152355625
HMGB1,HMGB2,4.075237681325217
RBM3,YBX1,4.032899558085452
ANXA1,MYADM,4.015411487279074
DNMT1,PIM2,4.003264550354686
JUNB,RPS29,4.001934993131142
DNMT1,STMN1,3.9818461720329164
HSPA5,HSP90B1,3.9711106459772356
DNMT1,HLA-E,3.966693081509688
JUNB,CSRNP1,3.9542098332795845
HMGB1,PRDX3,3.9192926280623146
HMGB1,SNRPD1,3.916674218564216
HMGB1,HNRNPAB,3.9116257504402405
HMGB2,HIST1H4C,3.911609009721251
DNMT1,HSPA1A,3.9108533823090297
ANXA1,YPEL5,3.900806508562797
BHLHE40,CRIP1,3.900748278903788
DNMT1,BTG2,3.8979420505219258
EZR,TUBA4A,3.870359626516457
HMGA1,LAG3,3.868458307318554
REL,GPR183,3.8533583001950227
HMGB1,COX5A,3.8366443672536388
HMGB1,STMN1,3.8288155341558743
JUNB,CD55,3.8194749404647537
HMGB2,SMC4,3.7919124721143573
YBX1,SNRPD1,3.78728147496164
YBX1,PFN1,3.7578887745040284
STAT4,SLC16A3,3.756714049477593
JUNB,LINC00152,3.755201096494308
HMGB1,YBX1,3.7543078965643213
SOX4,UBA1,3.7525438337390256
EZR,CHD2,3.7468401116768177
IRF7,GRINA,3.7459842219604624
YBX1,TIMM13,3.7446723228979475
DNMT1,SPTBN1,3.743452450133479
H2AFZ,KIF22,3.70638595408579
HMGB2,TMPO,3.682401529207053
SATB1,DUSP16,3.6509658721852323
YBX1,GAPDH,3.649840116517616
ANXA1,CLEC2B,3.649763558679325
GTF3A,CTSS,3.6494545708370687
BATF,UCP2,3.629836578776807
HMGB1,LSM2,3.6294026278027562
PKM,HSPA1B,3.6235480946900527
JUNB,TNFAIP3,3.6231031009132986
JUNB,FOS,3.622900776872269
JUNB,JUN,3.586238307454572
ANXA1,TSC22D3,3.579414870746194
CHD2,IL7R,3.5771287456849574
BATF,ENTPD1,3.5672976146290867
DNMT1,H2AFX,3.55659021782342
BATF,HMGA1,3.5537924715596096
REL,HLA-DRB1,3.5448315165260484
FOS,LAPTM4A,3.541409374148694
REL,KDM6B,3.5369336236423714
DNMT1,CD6,3.526410792545773
FOS,JUND,3.522325977150349
ANXA1,TAGAP,3.5187856728320623
GTF3A,S1PR1,3.5030601969633794
JUND,CD37,3.500000857952014
JUNB,REL,3.4961698345863783
