TF,target,importance
DNMT1,GMFG,7.013148326526671
DNMT1,HLA-E,6.4288907745518244
ANXA1,IL7R,6.239020888632761
HMGB1,H2AFZ,6.047556922724461
H2AFZ,HMGB1,5.988570564981342
DNMT1,PIM2,5.896403292310478
GTF3A,RPLP0,5.702089424847639
GTF3A,C1QBP,5.6509226407584325
HMGB1,HMGB2,5.488373807794608
DNMT1,DNAJC1,5.475708783700213
DNMT1,USP1,5.132434680530381
DNMT1,DUT,4.9574696239566345
GTF3A,TIMM13,4.948453497968989
REL,HLA-DRB1,4.931677462722586
GTF3A,RPL4,4.796129515487537
DNMT1,CMIP,4.7105123854214925
REL,HLA-DRB5,4.681453261732526
JUNB,ZFP36L2,4.6307554595853295
GTF3A,MRPL11,4.627626569379932
DNMT1,CTSS,4.621391771364811
H2AFZ,HMGB2,4.580934375506172
DNMT1,LSM2,4.56575040490135
DNMT1,CDK4,4.514053739662643
DNMT1,PDE4DIP,4.499320984239847
HMGB2,HIST1H4C,4.495569519233879
DNMT1,GAPDH,4.4837395418480614
HMGB1,HMGN2,4.46705524565681
GTF3A,RGS2,4.445561203970787
RBM3,YBX1,4.4025737373160805
HSPA5,HSP90B1,4.38289772121791
ANXA1,TGFBR2,4.373741637570281
BATF,NUDT5,4.264531147397566
GTF3A,ABRACL,4.255775966996505
HMGB2,H2AFX,4.250059684773239
GTF3A,TXNIP,4.2427837794264605
TGIF1,CDC42EP3,4.238184995340785
MAF,KIAA0319L,4.234324896816335
DNMT1,IDH2,4.2342500241267365
EZR,SLC2A3,4.232469340675533
HMGB1,PTTG1,4.23195856685404
PKM,LCP1,4.2279628579487225
GTF3A,NHP2,4.225955169067465
EZR,STAT5B,4.2060286618032015
GTF3A,MT2A,4.201583652354541
JUNB,CXCR4,4.200929986152553
NR4A2,ZNF331,4.184485144848343
DNMT1,CTSB,4.118915339906139
STAT5B,AHI1,4.0978071395311915
DNMT1,COTL1,4.089282493172175
JUNB,CSRNP1,4.089264109008836
JUNB,TNFAIP3,4.085226340646868
HMGA1,ITGAE,4.070396113350531
JUNB,EZR,4.068682239760419
GTF3A,RPS2,4.065581727726811
REL,ARAP2,4.06008964560207
JUNB,REL,4.059342430681819
DNMT1,MTHFD2,4.048577491331348
REL,HLA-DRA,4.036300557177366
H2AFZ,STAT5A,4.0105042469662635
XBP1,SSR4,4.007439862119371
HMGB1,CDK4,3.9788937140929685
HMGB2,DEK,3.976944195888083
BATF,TNFRSF25,3.96227311524089
REL,CD83,3.9570783190066163
BATF,LAG3,3.9503818938861666
GTF3A,TIMM10,3.94401525864387
REL,SERPINB9,3.9391708990637446
HMGB2,SMC4,3.9389070450348918
DNMT1,BTG2,3.929884553579535
YBX1,NHP2,3.9048162773087878
DNMT1,DNAJC9,3.8979212390732445
NFKB1,MALT1,3.8671020343231204
HMGB1,LSM4,3.858689353255751
HMGB1,LSM2,3.84292262277996
NFATC2,IRF7,3.8410118086063574
JUNB,LINC00152,3.8332766314173456
HMGB2,H2AFZ,3.818815426859895
GTF3A,MT1X,3.804302846517214
GTF3A,PRDX3,3.7758618666127344
JUNB,SLC2A3,3.758982169245302
TGIF1,HSPA5,3.7359932413584165
GTF3A,C12ORF75,3.72581295594474
REL,HLA-DQA1,3.7228122454520616
TRAF4,SYNGR2,3.709860041447061
HMGB1,HMGA1,3.686709089811642
JUNB,FOS,3.6772356589464796
DNMT1,LMNB1,3.6736466045798437
HMGB1,RANBP1,3.6735098767072816
GTF3A,PRELID1,3.6723405887698446
GTF3A,LSM4,3.665790740111468
GTF3A,C17ORF89,3.654181885965648
STAT5B,DDX3Y,3.6317202501559493
BHLHE40,DUSP16,3.612076484374927
YBX1,FABP5,3.6046309472630313
GTF3A,MT1E,3.5935315929632865
JUNB,RPS29,3.5932350360899488
PKM,LDLRAD4,3.590950478559056
PKM,ENTPD1,3.582767156370786
CHD2,TXNRD1,3.5822370724144266
JUNB,FAM177A1,3.5816244274946647
REL,ZNF331,3.5810148000561672
MAF,CTLA4,3.5777429124019036
GTF3A,HSPA1A,3.5741205007715657
BATF,CD27,3.5739945233391457
GTF3A,NAA38,3.570076342521748
GTF3A,MTRNR2L8,3.565975009380038
ANXA1,HSP90AA1,3.557178240789575
SOX4,CPNE3,3.5541884572066826
NR4A2,EZR,3.5523924460865355
GTF3A,MTHFD2,3.508384905066797
DNMT1,CALM3,3.506447466777485
HMGB2,TMPO,3.5034016460925894
STAT5B,TNFSF10,3.496214947801482
HMGB1,ANP32E,3.4945445695295794
PKM,SLC9A3R1,3.4928983790925288
GATA3,ITGA4,3.4903260196190637
CHD2,MTRNR2L12,3.489802392341384
DNMT1,TIMP1,3.485546187701194
PKM,S100A4,3.4781695173002647
HMGB2,CDC25B,3.475151680271869
DNMT1,FTL,3.472488756456301
REL,JUNB,3.4666542411629764
DNMT1,STMN1,3.4566171372835566
GTF3A,GALM,3.450545823162198
PKM,FAM50A,3.4475815090525064
YBX1,GAPDH,3.445180952098306
