TF,target,importance
DNMT1,DUT,7.047906101365357
HMGB1,H2AFZ,5.928098433578648
DNMT1,TUBB,5.7866999638006
ANXA1,IL7R,5.327359438174789
HMGB2,SMC4,5.311636926196485
JUNB,CSRNP1,5.295537213966429
HMGB1,HMGB2,5.080383297832255
YBX1,FABP5,5.032401921527545
H2AFZ,HMGB1,5.025310635071282
REL,NFKBIA,5.01261700718502
HMGB1,YBX1,4.868191138713456
DNMT1,PMVK,4.827776585788252
ANXA1,TGFBR2,4.69641690987875
HMGB1,DNMT1,4.661740310804158
DNMT1,PIM2,4.613612916571667
HMGA1,SPOCK2,4.570385868218631
HMGB1,DUT,4.548596662050667
HMGA1,CXCR6,4.546983845813062
HSPA5,HSP90B1,4.520525483851472
DNMT1,GMFG,4.513202843272739
STAT5B,TNFSF10,4.503373383669348
DNMT1,DNAJC9,4.483888967868255
RBM3,YBX1,4.472192846645849
DNMT1,CDC25B,4.385636514749191
JUNB,ZFP36,4.332427075129075
REL,SAT1,4.3079315822293145
DNMT1,MRPL11,4.297368212708972
REL,CD74,4.276654811354735
REL,GPR183,4.263710673831542
CHD2,MTRNR2L12,4.255329949665832
GTF3A,HSP90B1,4.234564645611002
JUNB,REL,4.212543639275795
HMGA1,AUTS2,4.210657693463026
DNMT1,TMPO,4.200077614218001
REL,HLA-DRA,4.171938747418496
H2AFZ,HMGB2,4.137498507103293
HMGB1,CALM3,4.117508577725493
DNMT1,S100A4,4.08422809842824
DNMT1,RHBDF2,4.061316182210901
HMGA1,CDKN1B,4.058742092774339
HMGA1,UBA1,4.029523715053848
SOX4,CPNE3,4.029099215899679
HMGB1,HNRNPAB,4.003211210943037
YBX1,C12ORF75,4.002112497503609
DNMT1,ANP32B,3.9987089787189922
REL,HLA-DPB1,3.9951064631770707
H2AFZ,YBX1,3.942112630059109
REL,HLA-DPA1,3.9399598026373686
STAT5B,POR,3.9227864538435826
DNMT1,CD7,3.9218508869230666
BATF,PCED1B,3.9145751576346344
DNMT1,STMN1,3.8713320259819453
NFKB1,NAMPT,3.8637642070989826
GATA3,ITGA4,3.8364288604572154
REL,NFKBIZ,3.835503030299762
DNMT1,YWHAH,3.83541886983435
YBX1,NHP2,3.8326672127425594
HMGA1,HLA-B,3.829922256804669
REL,BAZ1A,3.829455462256744
HSPA5,DNAJB9,3.82673052303981
DNMT1,LSM2,3.8190306134858645
HMGB1,LSM2,3.8016511951707805
HMGB2,HIST1H4C,3.794824483028517
DNMT1,CDK4,3.792987592858747
DNMT1,TUBA1B,3.7879864329095443
GTF3A,TUBA1C,3.7755725737258556
YBX1,MTHFD2,3.774248126728177
CHD2,TOM1,3.767353291591458
DNMT1,LSM4,3.7653220997133015
HMGB1,CBX3,3.7592176609498384
REL,NEAT1,3.7577152928776107
HMGB2,LMNB1,3.754872966287727
REL,KDM6B,3.7475069099805345
DNMT1,TIMP1,3.7442724184949734
DNMT1,NUCKS1,3.7405981258210073
IRF7,ISG15,3.715904947407288
DNMT1,IDH2,3.7112246079091014
HMGB1,C12ORF75,3.690107472650795
ANXA1,IKZF3,3.677341367600994
DNMT1,ITGAE,3.6724972743531414
GTF3A,MT-ATP8,3.644134711988778
DNMT1,HSD17B11,3.6386763556746886
HMGA1,SH2D2A,3.619076739193275
