TF,target,importance
HMGB1,H2AFZ,7.361255355289949
DNMT1,DUT,6.548436087993884
REL,SERPINB9,5.7104825507675585
GTF3A,C17ORF89,5.462979877466547
ANXA1,IL7R,5.431168483217143
H2AFZ,HMGB1,5.269583895253234
GTF3A,ABRACL,5.196845027095683
HMGB1,CBX3,5.024766270950175
HMGB1,HMGB2,4.971074253709781
DNMT1,CDK4,4.952577522097691
DNMT1,MTHFD2,4.933080979832241
REL,HLA-DRB1,4.799257397193366
DNMT1,GMFG,4.773325338935955
HMGB1,ANP32B,4.7413176620428645
JUNB,RPL41,4.728014492790292
JUNB,ZFP36,4.661090334348786
GTF3A,GSTP1,4.644836025450533
REL,JUN,4.637857901978647
ANXA1,TGFBR2,4.623532100563821
DNMT1,TUBB,4.591798684745111
YBX1,COX5A,4.577493789600968
GTF3A,NHP2,4.566145565263021
JUNB,TNFAIP3,4.532766742231141
DNMT1,IDH2,4.530606633369695
HMGB1,STMN1,4.505381058441223
YBX1,NHP2,4.465915971431135
DNMT1,TMPO,4.446930873672454
HMGB1,LSM2,4.445157549292212
HSPA5,HSP90B1,4.413525913540955
YBX1,GAPDH,4.405302138276747
HMGB2,HIST1H4C,4.390487099117979
FOS,FOSL2,4.365171713597141
REL,ZNF331,4.364227457984721
DNMT1,USP1,4.356666224871216
HMGB1,HMGN2,4.351011464961823
JUNB,PIK3R1,4.347390929482224
REL,NFKBIZ,4.340672306140604
YBX1,RPLP0,4.29077766643537
EZR,SLC2A3,4.280859899807222
DNMT1,TUBA1B,4.267798027959345
ANXA1,TMEM173,4.263400552979382
REL,HSPH1,4.252766693997606
EZR,FOSL2,4.249408222166716
HMGB1,LSM4,4.240447196335178
HMGB2,TMPO,4.2399758601378155
ZEB2,SOD2,4.208884806972248
YBX1,RPS2,4.2051596305857375
REL,HLA-DRA,4.177515520480746
EZR,TUBA4A,4.1436381565633695
MAF,CTLA4,4.143539876161169
GTF3A,RPS2,4.122297676342355
DNMT1,BTG2,4.11419905492276
HMGA1,GBP5,4.065191271630835
HMGA1,LAG3,4.059544931714086
GTF3A,PRDX3,4.027526575561022
YBX1,FABP5,4.025520515635772
JUNB,EZR,4.01629574130513
MAF,UCP2,4.0152164839124165
HMGB1,C12ORF75,4.011289205022544
DNMT1,DNAJC9,4.00102430595529
NR3C1,NMB,3.9871941950242
YBX1,TMSB10,3.973270931557077
HMGB1,DUT,3.972842413237612
JUNB,MT-ND3,3.968766711861566
DNMT1,CMIP,3.9680774240667187
HMGB2,H2AFX,3.945669007421222
JUNB,IER2,3.915234033806124
BATF,IL21R,3.8748903434779125
REL,NFKBIA,3.8527634450060857
JUNB,REL,3.8388168256536392
HMGB1,MRPL11,3.8355017747438285
PKM,PHLDA1,3.8311773531878517
HMGB1,DNMT1,3.8290964686859925
HSPA5,CCNDBP1,3.8268332731347696
HMGB2,SMC4,3.809803118693872
HMGB1,DEK,3.8072779173005786
DNMT1,ANP32B,3.805596362160063
JUNB,RPS29,3.774739283501511
DNMT1,NUCKS1,3.755816677300117
DNMT1,TOM1,3.7526129400764723
HMGA1,IGFLR1,3.7433813932701416
XBP1,SSR4,3.7343455089891036
HMGB1,TUBB,3.7323259601030743
HMGB1,PMVK,3.7256829601773345
ANXA1,ABLIM1,3.724686384106118
JUNB,CSRNP1,3.7181715803071227
H2AFZ,HMGB2,3.715666615523123
TGIF1,MYADM,3.710802160438857
HMGB1,YBX1,3.701264238194376
HMGA1,TNFRSF18,3.6978450810116876
YBX1,PFN1,3.6977811604419912
JUNB,RPS27,3.693133876028875
HMGB2,ANP32B,3.687482011335757
