TFs,DC-score
JUN,0.40815616998688836
BHLHE40,0.7102383816150034
HMGA1,1.085524386077292
TGIF1,0.6338688463247166
NFATC2,0.8844735368211246
JUNB,0.8786040337571139
IKZF3,1.0977798135039707
STAT5A,0.8311784952156106
IRF7,0.7907011073236448
STAT4,1.288255278136872
GATA3,1.1812411069370223
STAT3,0.5847803706761212
XBP1,0.4942590200514214
ATF4,0.6329798543857194
PRDM1,0.6642494582816995
FOXP1,0.5480158910511677
CREM,0.623778848928558
YBX1,1.7048065231449088
NFKB1,0.6059815698736388
HMGB1,0.767720850189837
FOSL2,0.5820952197957899
BATF,0.9201934473526349
REL,0.9972074224675327
MAF,0.9886115866049934
JUND,0.5026114519404341
FOS,0.5514374265763592
NFKB2,0.4526283485377719
HMGB2,0.8433023049401569
SOX4,1.2562387556378376
