TFs,Genes,Weights,Occurrence,occurrence_percentage
BHLHE40,NR4A2,0.14650280916108105,4,100.0
CREM,BTG1,3.468796850077098,4,100.0
CREM,ATP1B3,2.8882762204088976,4,100.0
CREM,DUSP4,2.187402096589457,3,75.0
CREM,ARHGEF7,2.129168841121141,4,100.0
CREM,LEPROTL1,2.084311943486557,4,100.0
CREM,VPS37B,2.074092088548232,4,100.0
CREM,STK17B,1.9801754808122969,4,100.0
CREM,TGIF1,1.967120224557719,4,100.0
CREM,NR3C1,1.8929849691557004,4,100.0
CREM,ZFP36,1.8642335566947643,4,100.0
CREM,SARAF,1.7889866125762819,4,100.0
CREM,ZFP36L2,1.7658913689920108,4,100.0
CREM,SRSF7,1.7408241737003924,3,75.0
CREM,SPOCK2,1.6630034828805123,4,100.0
CREM,RPS27,1.6521419449471753,3,75.0
CREM,SRGN,1.639069520363062,3,75.0
CREM,PIK3R1,1.51630168112004,3,75.0
CREM,TNFAIP3,1.5113337257444148,4,100.0
CREM,JUND,1.39211754620474,4,100.0
CREM,RPS29,1.3748094171666088,4,100.0
CREM,STAT5B,1.2962402458983153,4,100.0
CREM,IRF2BP2,1.2881262910955766,4,100.0
CREM,DUSP2,1.2429261491555483,4,100.0
CREM,GLIPR1,1.2254094543581098,4,100.0
CREM,LITAF,1.2244871177341883,4,100.0
CREM,IL10RA,1.2168765513278164,4,100.0
CREM,CST7,1.2130301955610534,4,100.0
CREM,SYTL3,1.1812035878549563,4,100.0
CREM,SMCHD1,1.1794887814220658,4,100.0
CREM,FAM46C,1.1654615558814443,4,100.0
CREM,FAM177A1,1.1371541762458093,4,100.0
CREM,EML4,1.1314660873284457,4,100.0
CREM,TUBA4A,1.1124644994511235,3,75.0
CREM,PPP1R16B,1.1012965845812983,4,100.0
CREM,PABPC1,1.100172844040336,4,100.0
CREM,SH2D1A,1.0948711964586322,3,75.0
CREM,PBXIP1,1.037848764593704,4,100.0
CREM,RNF19A,1.0177833810936572,4,100.0
CREM,CREM,1.0,4,100.0
CREM,CDKN1B,0.998500229800823,4,100.0
CREM,GPCPD1,0.962959933676375,4,100.0
CREM,BAZ1A,0.9441601647330471,4,100.0
CREM,ZNF331,0.9301898280637906,4,100.0
CREM,FOSL2,0.9205504774059676,4,100.0
CREM,DUSP16,0.9155915219812583,4,100.0
CREM,SYAP1,0.9090310683438836,4,100.0
CREM,FYN,0.8962668919784353,4,100.0
CREM,FOXP1,0.8850523990887138,4,100.0
CREM,CD44,0.8461569168086956,4,100.0
CREM,GK,0.7792056551120123,4,100.0
CREM,CD4,0.7750238052950174,3,75.0
CREM,JOSD1,0.7667670627488916,4,100.0
CREM,CRIP1,0.7348299331905014,4,100.0
CREM,DCP1B,0.72041017549031,3,75.0
CREM,PDE4B,0.7156951266007834,3,75.0
CREM,GABARAPL1,0.7128677486701678,4,100.0
CREM,RHBDF2,0.7014310012641247,4,100.0
CREM,NFATC2,0.6788619856557742,3,75.0
CREM,LINC00152,0.6618518824821518,4,100.0
CREM,SAMSN1,0.661818342712256,3,75.0
CREM,ELL2,0.6593555168365666,4,100.0
CREM,ANXA1,0.6391765492629581,3,75.0
CREM,MARCKSL1,0.6367460210816361,4,100.0
CREM,SATB1,0.6357417967985526,4,100.0
CREM,XAB2,0.6331905330410249,3,75.0
CREM,IL21R,0.6261920815995965,4,100.0
CREM,CD53,0.6175456605105369,4,100.0
CREM,GPR183,0.5910445734420515,4,100.0
CREM,PITPNC1,0.5678209708836154,4,100.0
CREM,RALGAPA1,0.5674217589549313,3,75.0
CREM,FAM65B,0.566445487492612,3,75.0
CREM,CCND2,0.5605024765342643,4,100.0
CREM,SPTAN1,0.5590843963910336,3,75.0
CREM,GATA3,0.5124371007212584,4,100.0
CREM,PTP4A1,0.511549611011201,4,100.0
CREM,CD7,0.5095078237561909,4,100.0
CREM,STAT3,0.5040247411191711,4,100.0
CREM,NR4A2,0.5036721010636235,4,100.0
CREM,NCDN,0.47198112296357797,4,100.0
CREM,EIF4A1,0.4674935583777901,4,100.0
CREM,LYST,0.4672031463811148,4,100.0
CREM,PRNP,0.4641709154522895,4,100.0
CREM,PRKX,0.45960893745381765,3,75.0
CREM,MAF,0.45575895639489905,4,100.0
CREM,CSRP1,0.4541842007041031,3,75.0
CREM,RFTN1,0.4386949568825229,4,100.0
CREM,APMAP,0.4361200439402152,4,100.0
CREM,INSIG1,0.4351040280838191,4,100.0
CREM,SESN3,0.4272207244885835,4,100.0
CREM,ARID5A,0.4102823357610802,4,100.0
CREM,RGS1,0.39697083822652374,4,100.0
CREM,ADGRE5,0.3884750169442772,3,75.0
CREM,GYG1,0.38775807351126634,4,100.0
CREM,ATP2B4,0.3729071408333958,4,100.0
CREM,DNAJC1,0.3684671664554732,4,100.0
CREM,RGS2,0.36386705306334693,3,75.0
CREM,USP11,0.3610034545441483,4,100.0
CREM,KDM6B,0.35669523535942105,3,75.0
