TFs,Genes,Weights,Occurrence,occurrence_percentage
ATF4,BHLHE40,1.3221206050496637,3,75.0
ATF4,SHMT2,1.0635519183794624,3,75.0
ATF4,ABCG1,0.5238193223347115,3,75.0
ATF4,HMGB1,0.3839911151877427,3,75.0
ATF4,HMGN2,0.052477231292741434,3,75.0
BATF,IL21R,2.5850256614957514,4,100.0
BATF,BCL2L11,1.9424878066559028,4,100.0
BATF,AHNAK,1.9074101528351122,4,100.0
BATF,DUSP4,1.8159661061729286,3,75.0
BATF,TNFRSF1B,1.749493603687079,4,100.0
BATF,SESN3,1.7460882776690474,3,75.0
BATF,SLC1A4,1.743101942800048,4,100.0
BATF,PDE4D,1.742102279746852,4,100.0
BATF,RAB11FIP1,1.6915621153927207,4,100.0
BATF,NINJ1,1.590634511089541,4,100.0
BATF,TNFAIP8,1.5487749505683732,4,100.0
BATF,MT2A,1.5407608573232408,3,75.0
BATF,GLRX,1.4504234360813713,4,100.0
BATF,HTATIP2,1.3652649865944073,4,100.0
BATF,SDCBP,1.3527159459734623,3,75.0
BATF,CDC42EP3,1.3461576959459023,3,75.0
BATF,CXCL13,1.34256390584184,4,100.0
BATF,CTLA4,1.2919826375890995,4,100.0
BATF,CD7,1.2808633837405752,4,100.0
BATF,CTSC,1.2502326024027457,4,100.0
BATF,STAM,1.2185198419833965,4,100.0
BATF,LYST,1.1581352155952669,4,100.0
BATF,IKZF3,1.1442918888064517,4,100.0
BATF,MIR4435-2HG,1.1266261751369668,4,100.0
BATF,CD5,1.1118498461409396,3,75.0
BATF,ATP2B4,1.1103355497698044,4,100.0
BATF,STAT5A,1.0875853980977044,4,100.0
BATF,CD4,1.0747997529628561,4,100.0
BATF,IL16,1.07010338222262,4,100.0
BATF,TGIF1,1.05936660652544,4,100.0
BATF,LDLRAD4,1.021387126083849,4,100.0
BATF,FAM107B,1.0028243830960832,4,100.0
BATF,GPX1,0.946451268868474,3,75.0
BATF,PTPRC,0.9393815302618754,3,75.0
BATF,SMS,0.9341348187663009,4,100.0
BATF,LINC00152,0.9117565533799166,4,100.0
BATF,GYG1,0.8159952759726592,4,100.0
BATF,PKM,0.8112418172696543,4,100.0
BATF,LMNA,0.7844219782740562,4,100.0
BATF,SATB1,0.7599945501335088,4,100.0
BATF,TRAF1,0.7534070246938094,4,100.0
BATF,SHMT2,0.733740086722661,4,100.0
BATF,CXCR3,0.7153498199756453,3,75.0
BATF,RFTN1,0.7132750202076943,4,100.0
BATF,LIMA1,0.6931941012637061,4,100.0
BATF,LGALS3,0.6795739052563738,4,100.0
BATF,INSIG1,0.6753320638760157,4,100.0
BATF,GADD45A,0.6665633345030711,4,100.0
BATF,NDRG1,0.6462681726966127,3,75.0
BATF,PFN1,0.5957322324771807,4,100.0
BATF,BIRC2,0.5632284300614971,4,100.0
BATF,MAP1LC3A,0.55136483966846,4,100.0
BATF,CD247,0.547897595181791,3,75.0
BATF,LIMS1,0.5061406648447203,3,75.0
BATF,PRDM1,0.49515728682532145,4,100.0
BATF,COTL1,0.4892889160449711,3,75.0
BATF,FOXP1,0.4765977149948638,4,100.0
BATF,FYN,0.4598595275151153,4,100.0
BATF,ITGAE,0.43048242182285534,3,75.0
BATF,CREM,0.36286476396424366,3,75.0
BATF,DCP1B,0.3354471589876302,3,75.0
BATF,LCP1,0.33250005301997143,4,100.0
BATF,CMIP,0.3283912224895295,3,75.0
BATF,DUSP16,0.319811701016099,3,75.0
BATF,SAMSN1,0.289373964939624,4,100.0
BATF,SMCHD1,0.27827086177747157,3,75.0
BATF,TSHZ2,0.27735400565194684,3,75.0
BHLHE40,NFKB2,1.7811813077968095,4,100.0
BHLHE40,TGIF1,1.6275998862897558,4,100.0
BHLHE40,MAP3K8,1.5825302716723866,4,100.0
BHLHE40,LDLRAD4,1.5555330704606447,4,100.0
BHLHE40,DUSP16,1.4911718687089657,4,100.0
BHLHE40,FYN,1.4641628719029236,4,100.0
BHLHE40,ABLIM1,1.2592194109360177,3,75.0
BHLHE40,RALGAPA1,1.171867682282154,4,100.0
BHLHE40,ARID5A,1.1528336839108104,4,100.0
BHLHE40,XAB2,1.1133459377029336,3,75.0
BHLHE40,RPL13A,1.096778974434737,4,100.0
BHLHE40,PIM3,1.0481798340429318,4,100.0
BHLHE40,STAT4,0.8451482795393904,4,100.0
BHLHE40,SYAP1,0.8340393375305182,4,100.0
BHLHE40,KDM6B,0.7784442918149683,4,100.0
BHLHE40,TRAF4,0.7583102649652494,4,100.0
BHLHE40,VPS37B,0.7536201234342752,4,100.0
BHLHE40,REL,0.7365807979816896,4,100.0
BHLHE40,PPP1R15A,0.7360181352879019,3,75.0
BHLHE40,ARHGEF7,0.719541686724166,3,75.0
BHLHE40,TSC22D3,0.6953100303602562,4,100.0
BHLHE40,NAMPT,0.6899634141289119,4,100.0
BHLHE40,BIRC2,0.6889643625146249,3,75.0
BHLHE40,SMCHD1,0.6712256048060514,4,100.0
BHLHE40,MAP1LC3A,0.6662221025676365,4,100.0
BHLHE40,PTP4A1,0.6179805248925991,3,75.0
BHLHE40,CREM,0.541302066616891,4,100.0
BHLHE40,CYSTM1,0.5372983929295542,3,75.0
BHLHE40,FAM50A,0.5007843100617965,3,75.0
BHLHE40,JOSD1,0.48326233768843024,4,100.0
BHLHE40,RTN4,0.47481908929803923,3,75.0
BHLHE40,SPOCK2,0.46192746250908107,4,100.0
BHLHE40,OAT,0.43451028106524925,4,100.0
BHLHE40,DUSP2,0.42926029544041644,4,100.0
BHLHE40,ZEB2,0.4106022253093657,4,100.0
BHLHE40,JUND,0.40712853504081764,4,100.0
BHLHE40,TPM4,0.4004117263270719,4,100.0
BHLHE40,DOK2,0.3538770066136096,3,75.0
BHLHE40,ZNF331,0.28016721430752867,4,100.0
BHLHE40,LCP1,0.27219893651195165,3,75.0
BHLHE40,RPS27,0.2619003802554886,3,75.0
BHLHE40,MAF,0.2547341043292876,4,100.0
BHLHE40,JUN,0.2294133561480104,4,100.0
BHLHE40,PPP1R16B,0.21139164202259791,4,100.0
BHLHE40,NR4A2,0.20970221221543212,4,100.0
BHLHE40,IER2,0.20081565803932258,3,75.0
BHLHE40,SRSF3,0.1970079013296805,4,100.0
BHLHE40,RPS29,0.1773437382486276,4,100.0
BHLHE40,IL21R,0.16420611907361257,4,100.0
BHLHE40,CSRNP1,0.14729564752643826,4,100.0
BHLHE40,CHD2,0.14151962354150757,3,75.0
BHLHE40,RBM3,0.08324051916729323,3,75.0
CREM,SAMSN1,2.4160324926360652,4,100.0
