TF,target,importance
HMGB1,HMGB2,6.613598853255078
BHLHE40,RGS1,6.1041247493731525
BATF,CARD16,5.701253826242428
HMGB1,HMGN2,5.6614848091746675
HMGB1,STMN1,5.385612629630054
FOS,JUNB,4.9657629615989
REL,CD83,4.917037131530572
BATF,HTATIP2,4.865894919683883
HMGB1,KIF22,4.782201034224949
ANXA1,SUN2,4.761925581328454
REL,SERPINB1,4.749752802837183
GTF3A,RGCC,4.700670428156131
BATF,CTLA4,4.684422691072428
DNMT1,LIMA1,4.638292091722141
HMGB1,HIST1H4C,4.633737345817964
HMGB1,H2AFZ,4.570290200807361
HMGB2,HMGN2,4.553515974029123
DNMT1,SYAP1,4.509276725560726
HMGB2,GAPDH,4.509174918118949
DNMT1,AUTS2,4.443562158635577
HMGB2,HIST1H4C,4.396646812901978
REL,NFKBIA,4.360199171371544
NR4A2,JUNB,4.358981539911409
GADD45A,GALNT2,4.347627407503833
ARID5A,SESN3,4.336147141685096
YBX1,RPLP0,4.333074714003965
GTF3A,AK6,4.30636469595564
PKM,TNFRSF18,4.295543774468235
DNMT1,LMNB1,4.284066995192743
HMGA1,HLA-DMA,4.2671486913460335
BATF,RHBDD2,4.236524824394158
BATF,GBP5,4.231958083126477
PKM,SLC9A3R1,4.213667009348189
HMGA1,ACTB,4.192760793701071
CHD2,SRRT,4.146655445228086
ANXA1,CD44,4.132735684335693
CREM,BTG1,4.131030485254151
REL,HLA-DQA1,4.103937797371994
HMGA1,SYPL1,4.088095007875249
PKM,AC133644.2,4.086300964442112
BATF,IL32,4.076058398269194
BATF,CXCR6,4.067750633746394
PKM,MT1E,4.053528599280999
REL,HLA-DPA1,4.0142531923951585
REL,NINJ1,4.01302928098798
NR3C1,PPP1R16B,3.998800992987841
HMGB1,PFN1,3.968578340641493
REL,TNFAIP8,3.9483949961395974
REL,RPL13A,3.928688908376212
GADD45A,MT1F,3.9279985518508096
HMGA1,ACTG1,3.9131266146694106
STAT3,CSRP1,3.909178996529365
REL,HLA-DPB1,3.9030493643763613
BATF,MIR4435-2HG,3.9025939205925737
NFKB1,SERPINB1,3.899097840458806
DNMT1,TMPO,3.8808092213076724
REL,HLA-DQB1,3.8783612691179066
IRF7,GPR183,3.81700858457019
DNMT1,XAB2,3.8073654809287567
ANXA1,CMC1,3.8049595939991416
PKM,COTL1,3.8018306346060555
CREM,FTH1,3.7800298139959736
REL,HLA-DRA,3.752175779713387
PBX4,IKZF3,3.746419335376463
HMGB2,TUBA1B,3.745482682153935
MAF,TSHZ2,3.7429138615656767
ZEB2,CCND2,3.710153492549838
STAT5A,PBX4,3.7045779461235395
DNMT1,RP11-290D2.6,3.673114083335028
BAX,IKZF3,3.644852563068352
GADD45A,MT1X,3.63416149467867
NR3C1,SRGN,3.6283530666515547
REL,SERPINB9,3.6130261671065145
STAT5B,ANXA2,3.6122922150928964
REL,CD74,3.610332411417716
TRAF4,S100A6,3.607138155197982
CREM,POR,3.596134570072955
HMGA1,TPM4,3.579972463866737
JUNB,IER2,3.5760457900875
PKM,ACOT9,3.5709459399701147
DNMT1,RANBP1,3.569962930948148
PKM,IL32,3.5695806203345386
JUNB,TXNRD1,3.5437668286899635
BHLHE40,JUN,3.5430698616659666
EZR,P2RY10,3.5360295718576777
JUNB,SOD2,3.5308831815408577
STAT5B,TXNRD1,3.5252980803309972
MAF,CXCL13,3.52524830666602
SOX4,MGST3,3.5193584412149406
STAT5A,EZR,3.4944856418978434
H2AFZ,ZEB2,3.4804773121561916
IKZF3,ARID5A,3.4796099679823236
HMGB2,HMGB1,3.4737283566334187
PRDM1,HMGA1,3.4651797275727594
HMGA1,SOD2,3.4555079331582395
STAT3,MT-ND3,3.445271694118321
HTATIP2,BATF,3.4406289155932885
HMGB2,TUBB,3.4405888520585295
PKM,LY6E,3.4401075814949027
FOS,NR4A2,3.436425662116992
BHLHE40,NR3C1,3.4333671827250933
BATF,S100A4,3.4201500161469607
PKM,GMFG,3.411531291790481
STAT5B,DCP1B,3.3998220752126613
JUNB,SLC2A3,3.3964093017885357
DNMT1,TPM4,3.3933708404328846
ANXA1,OASL,3.384619871670195
REL,CCR7,3.3810182280210785
MAF,PIM2,3.3676742498666554
STAT3,DDIT4,3.358626170299249
MAF,CCNH,3.3538597872410656
STAT5B,CTLA4,3.352468942122459
GADD45A,ANKRD10,3.350869610388532
PRDM1,VIM,3.3444696632931983
HMGB1,CREM,3.3339178052830403
GADD45A,APLP2,3.331719061738032
CHD2,DUSP1,3.331134138413521
GTF3A,TUBB,3.329270397865521
REL,TRBC1,3.3264926691622128
HSPA5,PTPRC,3.306710336888959
REL,ZC3H12A,3.3017882825540155
PKM,AC092580.4,3.293752778002686
MAF,TIMM13,3.2828560264539184
