TF,target,importance
HMGB1,HMGB2,7.6099195513734905
REL,NFKBIA,6.172528177286139
HMGB1,KIF22,5.877880064021291
HMGB1,STMN1,5.858882145822329
HMGB1,HMGN2,5.777809082668339
HTATIP2,IL32,5.669004042375329
BHLHE40,RGS1,5.460045298780346
REL,HLA-DQB1,5.3261431564107635
REL,MALAT1,5.202081010058586
REL,CD83,5.048389148539855
HMGB1,DNMT1,5.046543570356616
HMGB2,HIST1H4C,5.033302203093401
PKM,SLC9A3R1,4.944410442194936
REL,BID,4.861265350747925
IRF7,PERP,4.82077034830218
DNMT1,GABARAPL1,4.813629416718347
REL,SAT1,4.777399520014874
REL,HLA-DPB1,4.776472404538224
ANXA1,FAM65B,4.7049447158659
REL,HLA-DRB1,4.6010100909786935
FOS,JUNB,4.592865241456432
HMGB2,STMN1,4.539029557475767
HMGB1,HIST1H4C,4.4139281377469874
REL,HLA-DRB5,4.341236143370526
HMGB2,TUBA1B,4.315354089944358
HMGB2,HMGB1,4.289042290415298
JUNB,SLC2A3,4.280040537807194
DNMT1,SOD2,4.274557104965316
REL,SERPINB9,4.221849973103712
ID2,XBP1,4.211723434387091
HMGB2,TUBB,4.203686816560479
DNMT1,RFTN1,4.157868623427881
REL,CHD2,4.146145870589782
ANXA1,CLEC2D,4.110919094946712
BATF,HTATIP2,4.092305539568232
REL,HLA-DRA,4.003600158852766
REL,HLA-DQA1,3.9835368107654596
PKM,TXN,3.9706279243943867
HMGB1,H2AFZ,3.9209010887879168
YBX1,MALT1,3.917948961862974
BATF,CD55,3.875307973002811
NFKB1,GLUL,3.8742202833209003
HMGB1,SMC4,3.860963263578285
PKM,S100A4,3.831562597853334
HMGB2,HMGN2,3.8244821680379264
REL,CDKN1A,3.8086547661217307
BHLHE40,TSHZ2,3.7980785596946425
ANXA1,CD8A,3.7827647293488003
FOS,NR4A2,3.7646651813103675
NR4A2,JUNB,3.734415082656976
BATF,IL32,3.7126822308382597
DNMT1,SOCS1,3.710457905695882
HMGB2,ANP32E,3.6655961358527085
PKM,COX5A,3.6635221181419495
HMGB2,CKS2,3.652439675877239
KIF22,DUT,3.635065425439087
PKM,TIMM13,3.6334707868262783
IRF7,STAT4,3.632511662237622
DNMT1,GAPDH,3.624657160582381
REL,PPP1R15A,3.621156000938421
STAT5A,FOSL2,3.618440921654099
REL,RAB11FIP1,3.613119501398058
DNMT1,DEK,3.6129818267338325
MAF,CXCL13,3.601552071585682
SOX4,S1PR1,3.57783308163039
DNMT1,GBP5,3.5735689482458963
DNMT1,ELL2,3.5524376170515604
HMGB2,ANP32B,3.5476921350429893
GATA3,MT1X,3.54682046093169
GADD45A,DCP1B,3.543975653466077
PKM,MT1E,3.5287328809929295
EZR,TESC,3.5286456747755923
PRDM1,PELI1,3.5276700895416324
REL,NINJ1,3.5228131938057605
REL,IL32,3.512685976769624
REL,CCR7,3.512376211384801
ANXA1,AUTS2,3.4994376102410696
REL,MTRNR2L8,3.4927454619599354
HMGB1,DNAJB1,3.488840938433507
HMGB1,XBP1,3.4855518841134723
ANXA1,ENTPD1,3.4623447445619053
REL,ZC3H12A,3.435017744548998
STAT3,BIRC2,3.4330583708745785
BATF,GBP4,3.4315967531061005
HMGB1,CCNH,3.431088304454399
KIF22,HMGB2,3.426710042329976
NFKB1,COX5A,3.4113591264931613
ANXA1,GALM,3.403525898348958
PKM,MARCKSL1,3.4007159551487898
SOX4,CTSA,3.3939755648476013
BATF,LGALS3,3.391714183742333
HMGB1,TUBB,3.387864817638029
DNMT1,CAPG,3.3860172153937955
PKM,GAPDH,3.383211279075021
HMGB1,SHMT2,3.3798316301609157
DNMT1,AHI1,3.367457670438978
DNMT1,DCP1B,3.3657335025269437
CREM,FTH1,3.3596577839330783
DNMT1,IL10RA,3.3589751727400334
HMGB1,GAPDH,3.3545002411770417
STAT5B,SOX4,3.351401529185243
DNMT1,CORO1B,3.3481238610393866
HMGB2,TMPO,3.3468168711101596
BATF,PDCD5,3.3437303826009055
REL,HLA-DPA1,3.3304490718489896
DNMT1,SYNGR2,3.3294716115184766
ANXA1,LDLRAD4,3.3191741794905196
ANXA1,OASL,3.3008154862223096
NR3C1,SARAF,3.2734147616057747
REL,NFKBIZ,3.26448107992183
GTF3A,JAML,3.2587748566660797
NR3C1,SRGN,3.240940020080992
BATF,ACP5,3.239581025783476
IRF7,GPR183,3.216182166901925
FOSL2,ARHGEF7,3.205546280118686
CREM,ATP1B3,3.204153836021505
IKZF3,GMFG,3.202886491974681
SATB1,SMCHD1,3.201414969082733
STAT3,ID2,3.196212366914144
REL,IL2RB,3.1890823329144267
GTF3A,HNRNPAB,3.1877548454339677
BATF,APLP2,3.187392419259625
GTF3A,FAM50A,3.1850054361828506
YBX1,RPLP0,3.1808078863818463
HMGB2,PTTG1,3.179597134396283
IKZF3,EVL,3.1726468549997064
PKM,C12ORF75,3.16721475878012
KIF22,HMGB1,3.1633609544086587
GADD45A,CTSC,3.159868447749389
HMGB1,CREM,3.153644103893131
BATF,CTSC,3.1529510452688716
REL,CD74,3.149763303844976
NR3C1,TMEM173,3.149104878411361
STAT5B,WARS,3.14406902437551
GADD45A,CBLB,3.142294180517748
H2AFZ,ZEB2,3.1404754995654964
ANXA1,VPS37B,3.1364130420905467
BATF,RHBDD2,3.1315407925948366
REL,NFKB1,3.1280633319119957
HSPA5,AC092580.4,3.1276189600508113
STAT3,TESC,3.1245136036969776
REL,TRBC1,3.1238051709026773
ANXA1,DNAJC1,3.113295079929241
DNMT1,ABCG1,3.0973637715321494
ID2,SAT1,3.0919520522931574
ANXA1,LSM4,3.087409434010568
ANXA1,TXN,3.086487825037955
