TF,target,importance
BATF,APLP2,6.554194544505252
HMGB1,STMN1,6.211379385158008
BHLHE40,RGS1,6.018777872867236
HMGB2,HIST1H4C,5.689591410266481
DNMT1,GABARAPL1,5.4483806472184115
DNMT1,TNFSF10,5.283785168587172
REL,CD83,5.26391506627418
FOS,JUNB,5.261676210550324
ANXA1,YIPF5,5.0348240675517975
DNMT1,GZMA,5.021378557611394
HMGB1,HMGB2,5.010336220912649
HMGB2,HMGN2,4.835260502232012
H2AFZ,ID2,4.801606232489154
BATF,HTATIP2,4.673724380417342
GTF3A,RFTN1,4.669084202298044
GTF3A,PLIN2,4.66290683626747
REL,HLA-DQB1,4.656024305520191
REL,NINJ1,4.622870739373998
BHLHE40,JUN,4.573386369938349
HMGB1,HMGN2,4.555156507615001
HMGB1,KIF22,4.553874082672226
NR3C1,EML4,4.472861177071913
STAT5B,RASAL3,4.446508629844378
HMGB2,STMN1,4.419993107194846
GTF3A,BIRC2,4.370108300927275
HMGA1,CD247,4.363858037325588
BATF,GBP5,4.349263601119269
GADD45A,STAM,4.326697551651257
ANXA1,PITPNC1,4.323028361911799
HMGB1,TUBB,4.312271565431901
REL,HLA-DRB5,4.208823706346185
REL,PDCD1,4.1855394514217785
IKZF3,ID2,4.130946005173312
DNMT1,UPP1,4.109535230157283
BATF,PABPC1,4.092860555580781
NR3C1,SPOCK2,4.088077004327404
DNMT1,SRSF3,4.058759784039952
PKM,TMSB10,4.042222190064021
REL,NFKBIA,4.0197701441130445
NR4A2,JUNB,4.002563926854995
DNMT1,CPNE3,3.9947741395584706
PKM,IL32,3.9864639926978307
BAX,TMEM173,3.95105843753418
REL,HLA-DPB1,3.935790304799414
BATF,S100A4,3.9301634643018746
HTATIP2,CARD16,3.8787639430400227
JUN,BHLHE40,3.868094653099137
FOS,NR4A2,3.846663930652282
PKM,ACTB,3.8401553423504633
STAT5B,SOCS1,3.8239914404311435
PRDM1,PELI1,3.8208955173611576
MAF,ITPR1,3.80400417642016
REL,HLA-DRA,3.7517588992384
REL,CKS2,3.745148127529388
STAT3,TESC,3.7136043918818418
SOX4,GK,3.6893683460871705
BHLHE40,GPR183,3.684610302415689
BATF,IL32,3.6714863654183256
REL,CD74,3.6515914985155153
ANXA1,RASAL3,3.6385966731931187
JUNB,DUSP1,3.636121546623782
REL,SERPINB1,3.623362318789717
REL,HLA-DQA1,3.6074727058595997
PKM,S100A4,3.5930206573999977
HMGA1,ARHGEF7,3.584416683828804
PKM,COTL1,3.576101424257138
HTATIP2,BATF,3.5682561107253346
ANXA1,CRIP1,3.5549496820800197
STAT4,IRF7,3.553227474153687
GADD45A,SLC1A4,3.5449104701900858
STAT5B,LYST,3.533037654391823
IRF7,STAT4,3.5263171786084846
