target	regulator	condition	weight
ACD	CXCR3	Macrophages	0.00011513
ACD	RNF11	Macrophages	0.00019357
ACD	TMEM230	CD8_exhausted	-0.037421
ACD	VPS26A	CD8_exhausted	-0.00020314
ACIN1	CHST12	CD8_exhausted	-0.016897
ACIN1	FIBP	CD8_exhausted	-0.0017132
ACIN1	LRRFIP1	Macrophages	0.0022182
ACIN1	NXT1	CD8_exhausted	-0.0019298
ACIN1	TSTD1	Macrophages	0.00015477
ACLY	CLDND1	CD8_exhausted	-0.016468
ACLY	DPY30	Macrophages	0.0014893
ACLY	LIMS1	Macrophages	0.008434
ACLY	NUP54	Macrophages	0.0097627
ACLY	PITHD1	Macrophages	0.0081555
ACLY	RAB6A	Macrophages	0.022113
ACLY	TAF15	CD8_exhausted	-0.018008
ACLY	TCEA1	CD8_exhausted	-2.7522e-05
ACO2	C3ORF17	Macrophages	2.1607e-05
ACO2	CMC2	Macrophages	0.0085472
ACO2	DIP2A	CD8_exhausted	-0.0059603
ACO2	DPH3	Macrophages	0.00061468
ACO2	EIF2S2	CD8_exhausted	-0.0053772
ACO2	HIF1A	Macrophages	0.00053759
ACO2	KCNAB2	Macrophages	0.001691
ACO2	MTIF3	Macrophages	0.012407
ACO2	PYHIN1	CD8_exhausted	-0.043189
ACO2	SRPRA	Macrophages	0.0038044
ACO2	TOR3A	CD8_exhausted	-0.00041145
ACO2	TSPAN14	Macrophages	0.00014158
ACO2	ZNF384	Macrophages	0.00018858
ACOT9	BAG6	CD8_exhausted	-0.0034284
ACOT9	C11ORF73	CD8_exhausted	-0.0021921
ACOT9	COMMD1	Macrophages	0.0086441
ACOT9	MARCKSL1	CD8_exhausted	-0.001114
ACOT9	PDCD2	Macrophages	0.0054645
ACOT9	RASGRP1	CD8_exhausted	-0.012214
ACOT9	ZNF638	CD8_exhausted	-3.6639e-05
ACP1	CD46	Macrophages	0.010012
ACP1	GTF2B	Macrophages	0.00054451
ACP1	IGFLR1	CD8_exhausted	-0.0060026
ACP1	PSMC6	CD8_exhausted	-0.010526
ACP1	RPA3	CD8_exhausted	-0.0040977
ACP5	CCNK	CD8_exhausted	-0.0001565
ACP5	GNLY	Macrophages	0.0014704
ACP5	TPRA1	Macrophages	0.012065
ACTG1	RBM8A	CD8_exhausted	-3.4302e-05
ACTN4	ACTR1B	CD8_exhausted	-4.111e-05
ACTN4	CD48	CD8_exhausted	-7.7302e-05
ACTN4	SDCBP	CD8_exhausted	-4.7542e-05
ACTR10	CCDC59	CD8_exhausted	-0.00033138
ACTR10	IL16	Macrophages	0.0048429
ACTR10	MED30	Macrophages	0.00035579
ACTR10	RAB5B	CD8_exhausted	-0.0012905
ACTR10	USP4	Macrophages	0.0011467
ACTR1A	ALDH9A1	Macrophages	0.00052972
ACTR1A	CEBPG	CD8_exhausted	-0.0024015
ACTR1A	CNTRL	CD8_exhausted	-0.00055032
ACTR1A	IMP3	CD8_exhausted	-0.00020029
ACTR1A	NUP50	Macrophages	0.0013791
ACTR1A	SLC25A1	Macrophages	0.0026705
ACTR1A	SLC30A5	Macrophages	0.024373
ACTR1B	ACTN4	CD8_exhausted	-4.111e-05
ACTR1B	C15ORF57	Macrophages	0.028929
ACTR1B	COX17	CD8_exhausted	-0.00012036
ACTR1B	INPP5K	CD8_exhausted	-0.00058339
ACTR1B	IWS1	CD8_exhausted	-0.00027809
ACTR1B	MKRN1	CD8_exhausted	-4.8007e-05
ACTR1B	NFKBIB	Macrophages	0.036889
ACTR1B	NSL1	CD8_exhausted	-0.0034053
ACTR1B	PPHLN1	CD8_exhausted	-0.0063484
ACTR1B	PPP2R1A	CD8_exhausted	-0.0018455
ACTR1B	YWHAG	Macrophages	0.00012449
ACTR2	CCT7	CD8_exhausted	-0.0048948
ACTR2	HSD17B11	CD8_exhausted	-0.012763
ACTR2	NOP58	CD8_exhausted	-1.767e-05
ACTR2	PRNP	CD8_exhausted	-0.0010556
ACTR2	RANBP1	Macrophages	0.0012071
ACTR2	RCAN3	Macrophages	0.0096696
ACTR2	TIMMDC1	CD8_exhausted	-0.0019797
ACTR3	CPNE1	CD8_exhausted	-0.00073946
ACTR3	CRTAP	Macrophages	0.011477
ACTR3	PYURF	CD8_exhausted	-2.3077e-05
ACTR3	RDH11	CD8_exhausted	-0.00018467
ACTR3	SHFM1	Macrophages	0.0045748
ACTR3	VPS26A	CD8_exhausted	-2.0362e-05
ADAM10	BUD31	Macrophages	3.5706e-05
ADAM10	C4ORF3	CD8_exhausted	-0.0077665
ADAM10	CLEC2B	Macrophages	9.638e-05
ADAM10	POLE4	Macrophages	0.0010705
ADAM10	PTRHD1	CD8_exhausted	-0.0027848
ADAM10	STAG1	Macrophages	0.0034499
ADAM10	UHMK1	CD8_exhausted	-0.0013132
ADAM8	KRAS	CD8_exhausted	-9.2582e-05
ADAM8	MBTPS1	CD8_exhausted	-4.6168e-05
ADAM8	SNRPA1	CD8_exhausted	-0.0056894
ADAM8	USP9X	CD8_exhausted	-0.0074683
ADAM8	YY1	Macrophages	0.022632
ADAR	CCAR1	CD8_exhausted	-0.0029095
ADAR	CCDC107	CD8_exhausted	-5.8145e-05
ADAR	DNAJC3	Macrophages	6.9328e-06
ADAR	NIFK	Macrophages	0.0070388
ADAR	NUTM2B-AS1	CD8_exhausted	-0.00045186
ADAR	RALA	Macrophages	0.0044915
ADD1	MARCH7	Macrophages	0.015225
ADD1	OSTC	Macrophages	0.035038
ADD3	MTRNR2L8	CD8_exhausted	-0.01436
ADD3	SNRPA	CD8_exhausted	-6.9524e-06
ADD3	TTC3	Macrophages	0.0023203
ADD3	UQCRC2	CD8_exhausted	-8.6469e-05
ADH5	ARHGAP9	Macrophages	0.0017998
ADH5	KDSR	Macrophages	0.023539
ADH5	P2RY10	CD8_exhausted	-0.0088897
ADH5	RAB4A	CD8_exhausted	-0.0053067
ADH5	SNU13	CD8_exhausted	-9.1634e-06
ADH5	TAF15	CD8_exhausted	-0.0023952
ADH5	TCF25	CD8_exhausted	-0.0047385
ADH5	TMEM165	CD8_exhausted	-0.00014475
ADI1	ARGLU1	CD8_exhausted	-0.022637
ADI1	CORO1B	CD8_exhausted	-5.9744e-05
ADI1	CTDNEP1	CD8_exhausted	-0.0058088
ADI1	CYTIP	Macrophages	0.0033616
ADI1	FTSJ1	Macrophages	0.014819
ADI1	RNF115	Macrophages	0.0030667
ADI1	SZRD1	Macrophages	0.019784
ADI1	ZNF622	CD8_exhausted	-0.0031477
ADIPOR1	PSMC1	Macrophages	4.15e-05
ADIPOR1	RAB11FIP1	CD8_exhausted	-0.00052095
ADIPOR1	RCE1	CD8_exhausted	-0.020094
ADIPOR1	SGTA	Macrophages	0.016983
ADIPOR1	VPS26B	CD8_exhausted	-0.025581
ADK	PRMT1	CD8_exhausted	-0.00033182
ADK	PUM2	Macrophages	0.0048237
ADK	TRAPPC2L	Macrophages	0.00016656
ADPGK	PFDN6	Macrophages	0.010276
ADPGK	PRPF4B	CD8_exhausted	-0.021343
ADRM1	CYB5R4	Macrophages	0.0043197
ADRM1	PGK1	CD8_exhausted	-0.00018432
ADRM1	STX12	CD8_exhausted	-3.3814e-05
ADSL	CRLF3	Macrophages	0.025043
ADSL	EHD1	Macrophages	0.031735
ADSL	GLG1	CD8_exhausted	-0.003276
ADSL	NTMT1	CD8_exhausted	-0.0038958
ADSL	SFPQ	CD8_exhausted	-0.003194
ADSS	ERGIC2	Macrophages	0.00056224
ADSS	KIF5B	CD8_exhausted	-2.1367e-05
ADSS	USP16	CD8_exhausted	-0.0012026
AES	CEBPZ	Macrophages	0.023599
AES	DESI2	Macrophages	0.00024675
AES	IFI16	CD8_exhausted	-8.734e-05
AES	LINC00116	CD8_exhausted	-0.00018176
AES	MAPRE1	Macrophages	0.012772
AES	TEX264	CD8_exhausted	-9.0103e-06
AFF4	DDX39A	CD8_exhausted	-0.0011291
AFF4	DOCK8	CD8_exhausted	-6.3335e-05
AFF4	ELL2	CD8_exhausted	-0.0018559
AFF4	MRPL49	Macrophages	0.022016
AFF4	NDUFA3	Macrophages	0.0052562
AFF4	POGLUT1	CD8_exhausted	-0.02977
AFF4	SUCO	CD8_exhausted	-0.003102
AFTPH	TBRG4	CD8_exhausted	-3.6923e-05
AFTPH	TOX4	CD8_exhausted	-1.0706e-05
AGGF1	ASNSD1	CD8_exhausted	-6.849e-05
AGGF1	BAD	CD8_exhausted	-0.00015197
AGGF1	DYNC1H1	CD8_exhausted	-8.8264e-06
AGGF1	PMPCB	CD8_exhausted	-1.4507e-05
AGGF1	PRCC	Macrophages	0.010132
AGGF1	PRPF8	CD8_exhausted	-0.0018617
AGGF1	PSTPIP1	CD8_exhausted	-1.2213e-05
AGPAT2	AKAP17A	CD8_exhausted	-0.051248
AGPAT2	BAG1	CD8_exhausted	-0.0010445
AGPAT2	BPTF	Macrophages	1.0115e-05
AGPAT2	C21ORF59	Macrophages	0.033425
AGPAT2	MBP	Macrophages	0.00028871
AGPAT2	MKNK2	CD8_exhausted	-0.002188
AGPAT2	SNF8	Macrophages	0.00012264
AHCY	CD164	Macrophages	0.00054411
AHCY	MKKS	CD8_exhausted	-0.0070521
AHI1	CUL1	CD8_exhausted	-0.002024
AHI1	SNX17	Macrophages	0.013752
AHI1	UPF2	CD8_exhausted	-0.00014056
AHNAK	AC092580.4	CD8_exhausted	-0.0043069
AHNAK	KIAA1191	Macrophages	0.0037682
AHNAK	RHOT2	Macrophages	0.0043611
AHNAK	STOML2	CD8_exhausted	-0.0016941
AHNAK	TBK1	Macrophages	0.0011055
AHR	IL12RB1	Macrophages	0.00030532
AHR	NOL11	CD8_exhausted	-0.0014813
AHR	PJA2	Macrophages	0.0041212
AHR	SETX	CD8_exhausted	-0.01145
AHR	THOC2	Macrophages	0.0011228
AHR	TMX4	Macrophages	0.0095762
AHR	UQCC2	Macrophages	0.0027906
AHSA1	CHD1	CD8_exhausted	-0.0011506
AIM1	ANKRD11	Macrophages	0.0049812
AIM1	SUPT20H	CD8_exhausted	-0.0023122
AIM1	TAX1BP1	CD8_exhausted	-0.021074
AIM1	ZC3H15	Macrophages	0.0026209
AIMP1	AP3B1	CD8_exhausted	-0.00076824
AIMP1	ARPC3	Macrophages	0.015774
AIMP1	CAND1	CD8_exhausted	-0.00025375
AIMP1	DR1	CD8_exhausted	-7.0098e-05
AIMP1	GTF2F1	CD8_exhausted	-0.00022783
AIMP1	PDCD6IP	CD8_exhausted	-0.002153
AIMP1	SEC61A1	CD8_exhausted	-0.00010959
AIMP1	SF3B4	CD8_exhausted	-0.00031032
AIP	BORCS5	CD8_exhausted	-2.8432e-05
AK2	C6ORF48	CD8_exhausted	-0.012732
AK2	MRPS16	CD8_exhausted	-0.00046011
AK2	UBALD1	CD8_exhausted	-0.014669
AK3	EIF2A	CD8_exhausted	-0.0012564
AK3	ELAVL1	CD8_exhausted	-0.013034
AK3	LTA4H	CD8_exhausted	-1.4079e-05
AK3	NGRN	CD8_exhausted	-0.00053841
AK3	PLEKHA2	Macrophages	7.1638e-06
AK3	PLEKHB2	Macrophages	0.0060373
AK3	PNN	Macrophages	0.0067104
AK3	RBPJ	Macrophages	0.0008635
AK6	CCDC69	Macrophages	0.042596
AK6	CDK5RAP3	Macrophages	0.017493
AK6	MAP3K11	CD8_exhausted	-0.0028866
AK6	NOLC1	CD8_exhausted	-0.0020539
AK6	VTI1B	CD8_exhausted	-0.018776
AKAP13	IER3IP1	CD8_exhausted	-0.00053147
AKAP17A	AGPAT2	CD8_exhausted	-0.051248
AKAP17A	CFDP1	Macrophages	0.0081057
AKAP17A	DERL2	CD8_exhausted	-0.00037883
AKAP17A	EXOSC3	CD8_exhausted	-0.0012898
AKAP17A	KRTCAP2	CD8_exhausted	-0.0046975
AKAP17A	NKTR	CD8_exhausted	-1.4952e-05
AKAP17A	PLRG1	CD8_exhausted	-0.00097897
AKAP17A	PRPF8	CD8_exhausted	-0.00021531
AKAP17A	PSME3	Macrophages	0.039399
AKAP17A	RSRP1	CD8_exhausted	-0.0059214
AKAP17A	SFT2D1	CD8_exhausted	-0.010696
AKAP17A	STX4	Macrophages	0.0053906
AKAP17A	SYNE1	CD8_exhausted	-0.00010368
AKAP17A	TBCC	CD8_exhausted	-0.002874
AKAP9	PRRC2A	CD8_exhausted	-0.020324
AKIRIN1	MGAT1	CD8_exhausted	-0.034454
AKIRIN1	RAB10	CD8_exhausted	-2.6182e-05
AKIRIN1	UBA52	CD8_exhausted	-0.0017888
AKIRIN2	NARF	CD8_exhausted	-0.023496
AKIRIN2	SRPRB	Macrophages	0.0067548
AKR1A1	EIF5	CD8_exhausted	-0.0050527
AKR1A1	FAM103A1	Macrophages	0.012195
AKR1A1	MT-ATP8	CD8_exhausted	-0.0027574
AKR1A1	MT-ND6	CD8_exhausted	-9.1343e-05
AKR1A1	MTCH1	CD8_exhausted	-0.012712
AKR1A1	NSA2	CD8_exhausted	-0.0073032
AKR1A1	POLE3	CD8_exhausted	-0.0035626
AKR1A1	REST	Macrophages	0.0113
AKR1A1	SPCS2	Macrophages	0.0066189
AKR1B1	CALCOCO2	CD8_exhausted	-0.00012829
AKR1B1	DCAF7	Macrophages	0.0074281
AKR1B1	DESI2	CD8_exhausted	-0.022233
AKR1B1	MED25	Macrophages	0.0041271
AKR1B1	PLEKHJ1	CD8_exhausted	-0.0015166
AKR1B1	TMEM216	Macrophages	0.020112
AKR1B1	VOPP1	Macrophages	0.0048522
AKR7A2	ARPC3	CD8_exhausted	-1.3066e-05
AKR7A2	CLTB	CD8_exhausted	-0.00012362
AKR7A2	DBI	CD8_exhausted	-0.00042848
AKR7A2	PHF1	Macrophages	7.8753e-05
AKT2	ITM2C	Macrophages	0.006644
AKT2	MRPL22	CD8_exhausted	-0.0015226
AKT2	SLBP	Macrophages	0.0038585
AKT2	ST3GAL1	CD8_exhausted	-0.0079107
AKT2	ZMYM5	Macrophages	0.0032864
ALDH9A1	ACTR1A	Macrophages	0.00052972
ALDH9A1	DUSP16	Macrophages	0.00052132
ALDH9A1	HNRNPA0	Macrophages	0.0028154
ALDH9A1	IST1	Macrophages	0.00078405
ALDH9A1	MCM6	Macrophages	0.00026846
ALDH9A1	MRFAP1	CD8_exhausted	-0.013952
ALDH9A1	POLR2D	Macrophages	0.00073684
ALDH9A1	PTPN7	Macrophages	0.00011624
ALDH9A1	PUF60	CD8_exhausted	-0.01522
ALDH9A1	R3HDM4	CD8_exhausted	-0.011031
ALDH9A1	SRRM2	Macrophages	0.00013047
ALDH9A1	USE1	Macrophages	0.00072136
ALDOA	CLASP1	CD8_exhausted	-0.00024779
ALDOA	PSMB7	CD8_exhausted	-4.5689e-05
ALDOA	TGS1	CD8_exhausted	-0.00058611
ALG13	DCAF13	Macrophages	0.012384
ALG13	EIF2A	CD8_exhausted	-0.025088
ALG13	GNL3	Macrophages	0.00039806
ALG13	IGBP1	Macrophages	0.001296
ALG13	KCNAB2	Macrophages	9.4137e-05
ALG13	SUMF2	CD8_exhausted	-0.015391
ALG2	ANAPC5	Macrophages	0.004245
ALG2	CMC1	Macrophages	0.0033064
ALG2	EPRS	CD8_exhausted	-0.0086279
ALG2	FBXW2	Macrophages	0.012752
ALG2	GCC2	CD8_exhausted	-0.041173
ALG2	RABGGTB	CD8_exhausted	-0.0078713
ALG2	SAR1B	CD8_exhausted	-0.00047186
ALG2	TMEM170A	Macrophages	0.0063075
ALKBH7	AP3S1	Macrophages	0.0052058
ALKBH7	GNL1	Macrophages	0.00016181
ALKBH7	LIX1L	Macrophages	0.00093466
ALKBH7	MGEA5	CD8_exhausted	-0.022177
ALKBH7	PAPSS1	CD8_exhausted	-0.00054177
ALKBH7	PDHB	Macrophages	0.010473
ALKBH7	TGIF1	CD8_exhausted	-0.010932
ALOX5AP	EHMT1	CD8_exhausted	-0.0086141
ALOX5AP	JTB	CD8_exhausted	-1.3451e-05
ALOX5AP	NDUFB6	Macrophages	0.0024752
ALOX5AP	PNRC1	Macrophages	0.0086739
ALOX5AP	SYTL2	Macrophages	0.0060737
ALOX5AP	TMED3	Macrophages	0.0051195
ALOX5AP	WIPI2	CD8_exhausted	-0.0012556
AMD1	ETS1	Macrophages	0.00087173
AMD1	LSM1	CD8_exhausted	-0.0031858
AMD1	MAN2B1	CD8_exhausted	-0.0050924
AMD1	NOP2	Macrophages	0.00097157
AMD1	NTMT1	Macrophages	0.00024703
AMD1	PPHLN1	Macrophages	0.00022736
AMD1	PRELID3B	CD8_exhausted	-0.024323
AMZ2	ABLIM1	Macrophages	0.01353
AMZ2	CD5	CD8_exhausted	-0.027512
AMZ2	EIF4EBP2	Macrophages	0.0077946
AMZ2	EMC6	Macrophages	0.0056734
AMZ2	EVI2B	Macrophages	0.0001153
AMZ2	FAM107B	Macrophages	0.02036
AMZ2	HMGA1	CD8_exhausted	-0.016007
AMZ2	LRPAP1	Macrophages	0.0002226
AMZ2	PMPCB	CD8_exhausted	-0.0018413
AMZ2	RNF40	Macrophages	0.0031792
AMZ2	SNX1	CD8_exhausted	-0.021806
AMZ2	USP33	Macrophages	0.00045444
ANAPC11	BTN3A2	Macrophages	0.0006003
ANAPC16	CTSS	CD8_exhausted	-0.00048706
ANAPC5	ALG2	Macrophages	0.004245
ANAPC5	C5ORF15	CD8_exhausted	-0.0069216
ANAPC5	DEDD	Macrophages	0.0097706
ANAPC5	FYTTD1	CD8_exhausted	-9.2816e-06
ANAPC5	LTA4H	Macrophages	0.00094474
ANAPC5	MOB1A	Macrophages	0.0016694
ANAPC5	SUZ12	CD8_exhausted	-0.00049728
ANKH	CARHSP1	CD8_exhausted	-0.00071235
ANKH	CDC42EP3	CD8_exhausted	-0.00051923
ANKH	PAIP1	CD8_exhausted	-0.0028484
ANKH	UQCRHL	Macrophages	0.00019876
ANKH	ZNF581	Macrophages	6.843e-05
ANKLE2	PEA15	CD8_exhausted	-0.0072513
ANKLE2	TSTD1	CD8_exhausted	-0.0050199
ANKRD10	CHMP1B	CD8_exhausted	-4.5455e-05
ANKRD10	MTRR	CD8_exhausted	-0.0039119
ANKRD10	NMRK1	Macrophages	0.00016592
ANKRD10	SRPK1	Macrophages	0.0078307
ANKRD10	ZNRD1	CD8_exhausted	-0.018099
ANKRD11	AIM1	Macrophages	0.0049812
ANKRD11	CALM2	CD8_exhausted	-0.00037356
ANKRD11	MORF4L1	CD8_exhausted	-0.00015629
ANKRD11	MTRR	CD8_exhausted	-0.0010234
ANKRD11	PEX16	Macrophages	0.027748
ANKRD11	PNP	Macrophages	0.0039907
ANKRD11	SRPK1	CD8_exhausted	-0.0010615
ANKRD11	TOMM40	CD8_exhausted	-1.8084e-05
ANKRD11	UBE2A	CD8_exhausted	-6.4662e-05
ANKRD11	ZNF24	CD8_exhausted	-4.4166e-05
ANKRD12	MIER1	CD8_exhausted	-0.0020803
ANKRD12	PLIN2	CD8_exhausted	-0.0014958
ANKRD17	CCNL2	CD8_exhausted	-0.0014023
ANKRD17	MZT1	Macrophages	0.0069657
ANKRD17	PFDN6	Macrophages	3.008e-05
ANKRD17	PUM2	CD8_exhausted	-0.0079261
ANKRD17	SDF4	Macrophages	0.00058511
ANKRD17	VIMP	Macrophages	0.025462
ANKRD17	ZNF146	Macrophages	3.2009e-05
ANKRD44	POGZ	CD8_exhausted	-0.019236
ANKRD44	RBM10	Macrophages	0.0085514
ANKRD44	TMEM50B	CD8_exhausted	-0.00043804
ANKRD49	ARRDC1	CD8_exhausted	-0.00015981
ANKRD49	CMIP	Macrophages	0.0080748
ANKRD49	MED8	Macrophages	0.0078438
ANKRD49	P2RY8	CD8_exhausted	-0.001856
ANKRD49	TBPL1	CD8_exhausted	-2.0917e-05
ANKRD49	THUMPD1	Macrophages	0.0031199
ANKRD49	TMX4	CD8_exhausted	-0.0096877
ANKRD49	UQCRC2	Macrophages	0.01946
ANKRD49	USB1	CD8_exhausted	-0.011261
ANP32A	CALCOCO2	Macrophages	0.026213
ANP32A	IFI27L2	Macrophages	0.00047719
ANP32A	PFDN4	CD8_exhausted	-0.0121
ANP32A	POLDIP3	CD8_exhausted	-0.011913
ANP32A	PSMA3-AS1	CD8_exhausted	-0.00051439
ANP32A	YTHDC1	CD8_exhausted	-7.5336e-05
ANP32E	LBR	CD8_exhausted	-1.1165e-05
ANP32E	NELFCD	CD8_exhausted	-3.0338e-05
ANP32E	SIPA1L1	Macrophages	0.00036305
ANXA1	DEK	Macrophages	1.1484e-05
ANXA1	HAT1	Macrophages	1.5916e-05
ANXA1	HPS1	Macrophages	1.5861e-05
ANXA1	KHDRBS1	CD8_exhausted	-0.024372
ANXA1	PHF11	Macrophages	0.007398
ANXA1	RNF34	CD8_exhausted	-0.020174
ANXA11	BAG6	Macrophages	0.00095584
ANXA11	BAZ2A	CD8_exhausted	-0.0042711
ANXA11	CCDC115	CD8_exhausted	-0.013119
ANXA11	MAPRE1	CD8_exhausted	-2.0136e-05
ANXA11	PDIA4	Macrophages	0.00036206
ANXA11	PSMB8-AS1	CD8_exhausted	-0.00085071
ANXA11	RAB11B	CD8_exhausted	-0.00039969
ANXA11	RPAIN	Macrophages	0.013984
ANXA11	SDHA	CD8_exhausted	-0.00017011
ANXA5	ARL4C	CD8_exhausted	-6.8883e-07
ANXA5	CNPPD1	Macrophages	0.025596
ANXA5	FMNL1	CD8_exhausted	-0.0040762
