target	regulator	condition	weight
AAK1	MGST3	Macrophages	6.3847e-05
AAMP	ATP6AP2	CD8_exhausted	-0.00012657
AAMP	BAZ1A	CD8_exhausted	-8.9467e-06
AAMP	DERL1	CD8_exhausted	-0.026496
AAMP	LINC00152	Macrophages	8.3426e-05
AAMP	LRIF1	CD8_exhausted	-4.7291e-07
AAMP	NCK1	CD8_exhausted	-0.00020244
AAMP	PDCD4	CD8_exhausted	-2.1449e-06
AAMP	PSMB10	CD8_exhausted	-3.9482e-06
AAMP	TARS	Macrophages	0.0019849
AASDHPPT	CHMP1A	Macrophages	0.00095987
AASDHPPT	DERL1	Macrophages	0.0052069
AASDHPPT	EFCAB14	CD8_exhausted	-0.013235
AASDHPPT	MRPL51	Macrophages	0.0063758
AASDHPPT	NDE1	Macrophages	1.1312e-06
AASDHPPT	SAR1B	CD8_exhausted	-0.00011309
AASDHPPT	SNRPE	CD8_exhausted	-0.0044516
AASDHPPT	USP33	CD8_exhausted	-0.0024899
AATF	ABT1	Macrophages	9.0286e-05
AATF	LUC7L	Macrophages	0.00032489
AATF	NDUFAB1	Macrophages	0.0040753
AATF	ORMDL1	Macrophages	0.004579
AATF	OS9	CD8_exhausted	-0.017888
AATF	PPP2R3C	CD8_exhausted	-6.4378e-06
AATF	PSPC1	CD8_exhausted	-0.019258
AATF	SLMAP	Macrophages	0.0019775
AATF	UBE2K	CD8_exhausted	-0.00012842
AATF	VEZT	Macrophages	0.0084643
ABCF1	C14ORF2	Macrophages	4.5799e-05
ABCF1	CDC42SE1	Macrophages	0.0039509
ABCF1	COA3	Macrophages	1.0044e-05
ABCF1	DSCR3	Macrophages	0.00056896
ABCF1	ELOVL5	CD8_exhausted	-0.019358
ABCF1	MKKS	Macrophages	0.00015834
ABCF1	RC3H1	CD8_exhausted	-0.051463
ABCF1	SURF4	Macrophages	0.0043176
ABCF1	TSHZ2	CD8_exhausted	-0.0040536
ABCF2	KEAP1	Macrophages	0.0010059
ABCF2	MAP2K1	Macrophages	0.0006458
ABCF2	MCRS1	Macrophages	0.0054006
ABCF2	OLA1	CD8_exhausted	-5.8178e-05
ABCF2	SERP1	Macrophages	0.0019769
ABCF2	STUB1	CD8_exhausted	-0.00056296
ABCF2	TLN1	CD8_exhausted	-0.0064769
ABCF2	TMEM14C	CD8_exhausted	-0.001885
ABCG1	HAGH	Macrophages	0.0034963
ABCG1	SMARCE1	CD8_exhausted	-0.00017835
ABCG1	ZYX	CD8_exhausted	-0.0014612
ABHD14B	ARHGDIA	Macrophages	9.0313e-05
ABHD14B	ASH1L	Macrophages	0.0034977
ABHD14B	ATF6B	Macrophages	0.010238
ABHD14B	C14ORF2	CD8_exhausted	-0.0057059
ABHD14B	DIP2A	Macrophages	0.0040516
ABHD14B	FAM204A	Macrophages	0.00041065
ABHD14B	IL21R	CD8_exhausted	-0.0035773
ABHD14B	NAGK	CD8_exhausted	-0.025073
ABHD14B	NRDC	CD8_exhausted	-0.0052926
ABHD14B	PDCD4	Macrophages	0.0021916
ABHD14B	POGLUT1	CD8_exhausted	-0.0021273
ABHD14B	SLC10A3	Macrophages	0.00086487
ABHD14B	TM9SF3	CD8_exhausted	-0.00845
ABHD14B	TMEM11	CD8_exhausted	-0.030449
ABHD14B	WASF2	Macrophages	0.0081859
ABHD17A	CCDC82	CD8_exhausted	-0.014567
ABHD17A	DNAJB14	Macrophages	0.0044685
ABHD17A	ELMO1	Macrophages	0.011684
ABHD17A	RECQL	CD8_exhausted	-0.016607
ABHD17A	RPL23	CD8_exhausted	-0.00083829
ABHD17A	RTF1	Macrophages	0.0010783
ABHD17A	SECISBP2L	Macrophages	0.0094178
ABHD17A	YY1AP1	Macrophages	0.023895
ABI1	ATXN1	CD8_exhausted	-0.025719
ABI1	ATXN7	Macrophages	0.014839
ABI1	OFD1	CD8_exhausted	-0.00041971
ABI1	PPP1R2	Macrophages	0.0015749
ABI1	RCN2	CD8_exhausted	-0.0016611
ABI1	SMIM15	CD8_exhausted	-0.00030639
ABI1	TMEM70	Macrophages	0.0077558
ABI1	TRIM69	CD8_exhausted	-1.3137e-08
ABLIM1	AMZ2	Macrophages	0.01353
ABLIM1	DHPS	CD8_exhausted	-0.010569
ABLIM1	LMF2	Macrophages	0.00063849
ABLIM1	LSM1	CD8_exhausted	-0.0015011
ABLIM1	OAZ1	CD8_exhausted	-0.00094169
ABLIM1	TOP2B	CD8_exhausted	-0.0088808
ABRACL	THOC2	Macrophages	8.9006e-05
ABRACL	TPRA1	CD8_exhausted	-0.00017629
ABT1	AATF	Macrophages	9.0286e-05
ABT1	ARPC1B	Macrophages	0.00036733
ABT1	CLPP	CD8_exhausted	-0.029084
ABT1	EHD1	Macrophages	0.0024505
ABT1	GLOD4	Macrophages	0.00067447
ABT1	MGRN1	Macrophages	0.00045545
ABT1	RAB18	Macrophages	0.00033489
AC090498.1	TADA3	Macrophages	0.00012662
AC090498.1	UQCRHL	CD8_exhausted	-0.00023201
AC092580.4	AHNAK	CD8_exhausted	-0.0043069
AC092580.4	HNRNPA0	Macrophages	0.009744
AC092580.4	MRPS18B	Macrophages	7.6667e-05
AC092580.4	NDUFC1	CD8_exhausted	-3.1844e-05
AC092580.4	RBM23	CD8_exhausted	-0.0073209
ACAA1	C14ORF2	CD8_exhausted	-0.00049296
ACAA1	CAMTA1	CD8_exhausted	-0.0002673
ACAA1	HUWE1	Macrophages	0.021021
ACAA1	IQGAP2	CD8_exhausted	-1.409e-05
ACAA1	PRKRA	CD8_exhausted	-0.0027524
ACAA1	SEPT7	CD8_exhausted	-0.00027405
ACADVL	CCNI	CD8_exhausted	-0.0002739
ACADVL	DDOST	CD8_exhausted	-0.00015338
ACADVL	GHITM	CD8_exhausted	-0.00013332
ACADVL	SMG1	Macrophages	0.013457
ACADVL	TOR1A	CD8_exhausted	-1.3591e-05
ACAP1	COPZ1	Macrophages	0.0087757
ACAP1	PRKRA	CD8_exhausted	-0.00092837
ACAP2	ARMC10	CD8_exhausted	-0.0026864
ACAP2	DERL2	Macrophages	0.029497
ACAP2	EIF1AX	CD8_exhausted	-7.0287e-06
ACAP2	IDH3B	CD8_exhausted	-2.3908e-06
ACAP2	INPP5D	CD8_exhausted	-0.00028237
ACAP2	IRF2	CD8_exhausted	-0.0040966
ACAP2	NPEPPS	Macrophages	0.00013422
ACAP2	PLEKHA2	CD8_exhausted	-0.0063137
ACAP2	TIMM17A	Macrophages	0.00038817
ACAP2	WBP11	CD8_exhausted	-2.0716e-05
