V1	V2	weight	condition
AKT1	AKT2	1	differential
AKT2	ATP6V1A	1	differential
AKT2	SOS1	1	differential
ATP6V1C1	ATP6V1D	1	differential
ATP6V1C2	HOTAIR	1	differential
ATP6V1E1	WDR59	1	differential
ATP6V1E2	FLCN	1	differential
ATP6V1F	WNT3	1	differential
ATP6V1H	DEFB1	1	differential
BRAF	DEPDC5	1	differential
BRAF	TSPAN7	1	differential
CAB39	PIK3CD	1	differential
CAB39	PRKAA1	1	differential
CHUK	TSPAN7	1	non-differential
CYORF15A	XIST	1	non-differential
CYORF15B	KDM5D	1	non-differential
DDIT4	SEC13	1	differential
DDX3Y	RPS4Y1	1	non-differential
DVL1	MAP2K1	1	differential
DVL3	PIK3R2	1	differential
DVL3	TSC2	1	differential
EIF4EBP1	HOXB2	1	differential
EIF4EBP1	PIK3CB	1	differential
EIF4EBP1	SEH1L	1	differential
FLCN	FZD5	1	differential
FNIP1	RICTOR	1	non-differential
FNIP2	KRAS	1	differential
FNIP2	MAPK1	1	differential
FNIP2	SEC13	1	differential
FNIP2	SEH1L	1	differential
FZD3	TNFRSF1A	1	differential
FZD3	TSC1	1	differential
FZD3	TSC2	1	differential
FZD5	PIK3CB	1	differential
FZD5	RRAGC	1	differential
FZD6	SEH1L	1	differential
FZD6	ULK2	1	differential
FZD9	INS	1	differential
FZD9	POTEK	1	differential
GRB10	KRAS	1	non-differential
HRAS	IFI27	1	differential
HRAS	OR4N4	1	differential
IGF1R	SEC13	1	differential
KDM5D	RPS4Y1	1	non-differential
LPIN1	MAPK3	1	differential
LPIN2	WNT5B	1	differential
LRP5	RPS6	1	differential
LRP5	WNT2	1	differential
MAP2K1	TNFRSF1A	1	differential
MAPKAP1	PIK3CB	1	differential
NRAS	PRKCB	1	differential
NRAS	RICTOR	1	differential
PIK3CA	RICTOR	1	differential
PIK3CB	RRAGD	1	differential
PIK3CD	RPS6KA2	1	differential
PIK3CD	WNT16	1	differential
PIK3R1	STRADA	1	differential
PIK3R1	ULK1	1	differential
PIK3R3	WDR59	1	differential
PRKCA	WNT10B	1	differential
PRKCA	WNT5B	1	differential
PRKCB	TNF	1	differential
PRR5	STK11	1	differential
PTEN	TSC2	1	differential
RAF1	ULK1	1	differential
RICTOR	TBC1D7	1	differential
RPS4Y1	XIST	1	non-differential
RPS6	WNT8B	1	differential
RPS6KA2	RPS6KA3	1	differential
RPTOR	ZFY	1	differential
SEH1L	STK11	1	differential
SGK1	TBC1D7	1	differential
SLC38A9	SLC7A5	1	differential
SOS2	TNF	1	differential
TSC1	ULK2	1	differential
TSC2	WNT3	1	differential
