regulator	target	condition	weight
AKT1	AKT2	differential	1
AKT2	ATP6V1A	non-differential	1
AKT2	SOS1	non-differential	1
ATP6V1C1	ATP6V1D	differential	1
ATP6V1C2	HOTAIR	non-differential	1
ATP6V1E1	WDR59	non-differential	1
ATP6V1E2	FLCN	differential	1
ATP6V1F	WNT3	differential	1
ATP6V1H	DEFB1	non-differential	1
BRAF	DEPDC5	differential	1
BRAF	TSPAN7	non-differential	1
CAB39	PIK3CD	differential	1
CAB39	PRKAA1	differential	1
CHUK	TSPAN7	non-differential	1
CYORF15A	XIST	non-differential	1
CYORF15B	KDM5D	differential	1
DDIT4	SEC13	differential	1
DDX3Y	RPS4Y1	differential	1
DVL1	MAP2K1	differential	1
DVL3	PIK3R2	non-differential	1
DVL3	TSC2	differential	1
EIF4EBP1	HOXB2	non-differential	1
EIF4EBP1	PIK3CB	differential	1
EIF4EBP1	SEH1L	differential	1
FLCN	FZD5	differential	1
FNIP1	RICTOR	differential	1
FNIP2	KRAS	non-differential	1
FNIP2	MAPK1	differential	1
FNIP2	SEC13	differential	1
FNIP2	SEH1L	differential	1
FZD3	TNFRSF1A	differential	1
FZD3	TSC1	differential	1
FZD3	TSC2	differential	1
FZD5	PIK3CB	differential	1
FZD5	RRAGC	non-differential	1
FZD6	SEH1L	differential	1
FZD6	ULK2	non-differential	1
FZD9	INS	non-differential	1
FZD9	POTEK	non-differential	1
GRB10	KRAS	non-differential	1
HRAS	IFI27	non-differential	1
HRAS	OR4N4	non-differential	1
IGF1R	SEC13	differential	1
KDM5D	RPS4Y1	differential	1
LPIN1	MAPK3	non-differential	1
LPIN2	WNT5B	non-differential	1
LRP5	RPS6	differential	1
LRP5	WNT2	non-differential	1
MAP2K1	TNFRSF1A	differential	1
MAPKAP1	PIK3CB	differential	1
NRAS	PRKCB	differential	1
NRAS	RICTOR	differential	1
PIK3CA	RICTOR	differential	1
PIK3CB	RRAGD	differential	1
PIK3CD	RPS6KA2	differential	1
PIK3CD	WNT16	non-differential	1
PIK3R1	STRADA	differential	1
PIK3R1	ULK1	differential	1
PIK3R3	WDR59	non-differential	1
PRKCA	WNT10B	non-differential	1
PRKCA	WNT5B	non-differential	1
PRKCB	TNF	non-differential	1
PRR5	STK11	non-differential	1
PTEN	TSC2	differential	1
RAF1	ULK1	differential	1
RICTOR	TBC1D7	differential	1
RPS4Y1	XIST	non-differential	1
RPS6	WNT8B	non-differential	1
RPS6KA2	RPS6KA3	differential	1
RPTOR	ZFY	non-differential	1
SEH1L	STK11	non-differential	1
SGK1	TBC1D7	differential	1
SLC38A9	SLC7A5	non-differential	1
SOS2	TNF	non-differential	1
TSC1	ULK2	non-differential	1
TSC2	WNT3	differential	1
