regulator	target	condition	weight
CLCA2	BAMBI	non-differential	1
DAPL1	SHC4	differential	1
G0S2	LPL	non-differential	1
ESR1	FGF1	differential	1
ESR1	FGF21	differential	1
ESR1	IGF1R	differential	1
ESR1	PIK3CD	differential	1
ESR1	PIK3CB	differential	1
ESR1	LEF1	differential	1
ESR2	PGR	differential	1
SP1	MAPK1	differential	1
SP1	FZD10	non-differential	1
SP1	DVL1	differential	1
SP1	LEF1	differential	1
CCND1	FGF19	non-differential	1
CCND1	APC	differential	1
CCND1	CDK6	differential	1
CCND1	RB1	differential	1
MYC	PTEN	differential	1
MYC	CDKN1A	differential	1
PGR	HEYL	differential	1
PGR	FZD3	non-differential	1
FGF1	FGF13	non-differential	1
FGF1	IGF1	differential	1
FGF1	DLL3	differential	1
FGF4	FGF19	non-differential	1
FGF7	FGF12	differential	1
FGF9	EGFR	differential	1
FGF10	JAG2	non-differential	1
FGF10	WNT8A	non-differential	1
FGF10	CDK4	differential	1
FGF12	KRAS	non-differential	1
FGF14	WNT3A	non-differential	1
FGF21	FZD3	non-differential	1
FGF21	RB1	differential	1
IGF1	KIT	differential	1
IGF1R	RAF1	non-differential	1
IGF1R	WNT9A	differential	1
IGF1R	LRP6	differential	1
IGF1R	DVL3	differential	1
EGF	KRAS	non-differential	1
EGF	WNT2B	non-differential	1
EGF	CTNNB1	non-differential	1
EGFR	CDK6	differential	1
SHC2	SOS2	differential	1
SHC2	DLL3	differential	1
SHC3	CDKN1A	differential	1
SHC4	DVL1	differential	1
SHC4	AXIN1	non-differential	1
SHC4	CTNNB1	non-differential	1
GRB2	BRAF	differential	1
GRB2	CTNNB1	non-differential	1
GRB2	RB1	differential	1
SOS1	WNT9B	non-differential	1
SOS2	DVL2	differential	1
NRAS	NOTCH4	differential	1
NRAS	CDKN1A	differential	1
BRAF	WNT7B	differential	1
BRAF	FZD5	differential	1
MAPK1	NOTCH3	non-differential	1
PIK3CD	HEYL	differential	1
PIK3CD	WNT10A	differential	1
PTEN	WNT3	non-differential	1
AKT3	HES1	differential	1
RPS6KB1	DVL1	differential	1
JAG1	FZD4	differential	1
DLL3	TCF7	differential	1
NOTCH1	WNT5A	differential	1
NOTCH4	FZD2	differential	1
HES1	DVL2	differential	1
HES1	CDK6	differential	1
HES1	BRCA2	differential	1
HEYL	TCF7L1	differential	1
HEYL	CDK4	differential	1
WNT5B	AXIN2	differential	1
WNT10B	GSK3B	differential	1
FZD2	CDK6	differential	1
FZD9	APC2	non-differential	1
LRP6	FRAT2	differential	1
LRP6	LEF1	differential	1
LRP6	RB1	differential	1
AXIN2	CTNNB1	non-differential	1
TCF7	LEF1	differential	1
LEF1	BRCA1	non-differential	1
RB1	E2F2	differential	1
E2F1	E2F2	differential	1
